Run	Condition	developmental_stage	organism_part	sex	strain	timepoint	treatment
ERR572964	adult females LE	adult	whole organism	female	LE		
ERR572988	adult females LE	adult	whole organism	female	LE		
ERR573061	adult females LE	adult	whole organism	female	LE		
ERR573085	adult females LE	adult	whole organism	female	LE		
ERR578163	adult females LE	adult	whole organism	female	LE		
ERR578187	adult females LE	adult	whole organism	female	LE		
ERR572962	adult females LE, 1 hour	adult	whole organism	female	LE	1 hour	Praziquantel
ERR572986	adult females LE, 1 hour	adult	whole organism	female	LE	1 hour	Praziquantel
ERR573065	adult females LE, 1 hour	adult	whole organism	female	LE	1 hour	Praziquantel
ERR573089	adult females LE, 1 hour	adult	whole organism	female	LE	1 hour	Praziquantel
ERR578161	adult females LE, 1 hour	adult	whole organism	female	LE	1 hour	Praziquantel
ERR578185	adult females LE, 1 hour	adult	whole organism	female	LE	1 hour	Praziquantel
ERR572963	adult females LE, 12 hours	adult	whole organism	female	LE	12 hours	Praziquantel
ERR572987	adult females LE, 12 hours	adult	whole organism	female	LE	12 hours	Praziquantel
ERR573063	adult females LE, 12 hours	adult	whole organism	female	LE	12 hours	Praziquantel
ERR573087	adult females LE, 12 hours	adult	whole organism	female	LE	12 hours	Praziquantel
ERR578162	adult females LE, 12 hours	adult	whole organism	female	LE	12 hours	Praziquantel
ERR578186	adult females LE, 12 hours	adult	whole organism	female	LE	12 hours	Praziquantel
ERR572971	adult females LE, 24 hours	adult	whole organism	female	LE	24 hours	Praziquantel
ERR572995	adult females LE, 24 hours	adult	whole organism	female	LE	24 hours	Praziquantel
ERR573062	adult females LE, 24 hours	adult	whole organism	female	LE	24 hours	Praziquantel
ERR573086	adult females LE, 24 hours	adult	whole organism	female	LE	24 hours	Praziquantel
ERR582493	adult females LE, 24 hours	adult	whole organism	female	LE	24 hours	Praziquantel
ERR582517	adult females LE, 24 hours	adult	whole organism	female	LE	24 hours	Praziquantel
ERR572970	adult females LE, 3 hours	adult	whole organism	female	LE	3 hours	Praziquantel
ERR572994	adult females LE, 3 hours	adult	whole organism	female	LE	3 hours	Praziquantel
ERR573064	adult females LE, 3 hours	adult	whole organism	female	LE	3 hours	Praziquantel
ERR573088	adult females LE, 3 hours	adult	whole organism	female	LE	3 hours	Praziquantel
ERR582492	adult females LE, 3 hours	adult	whole organism	female	LE	3 hours	Praziquantel
ERR582516	adult females LE, 3 hours	adult	whole organism	female	LE	3 hours	Praziquantel
ERR570493	adult females LEPZQ	adult	whole organism	female	LEPZQ		
ERR570517	adult females LEPZQ	adult	whole organism	female	LEPZQ		
ERR573053	adult females LEPZQ	adult	whole organism	female	LEPZQ		
ERR573077	adult females LEPZQ	adult	whole organism	female	LEPZQ		
ERR582509	adult females LEPZQ	adult	whole organism	female	LEPZQ		
ERR582533	adult females LEPZQ	adult	whole organism	female	LEPZQ		
ERR570491	adult females LEPZQ, 1 hour	adult	whole organism	female	LEPZQ	1 hour	Praziquantel
ERR570515	adult females LEPZQ, 1 hour	adult	whole organism	female	LEPZQ	1 hour	Praziquantel
ERR573051	adult females LEPZQ, 1 hour	adult	whole organism	female	LEPZQ	1 hour	Praziquantel
ERR573075	adult females LEPZQ, 1 hour	adult	whole organism	female	LEPZQ	1 hour	Praziquantel
ERR582507	adult females LEPZQ, 1 hour	adult	whole organism	female	LEPZQ	1 hour	Praziquantel
ERR582531	adult females LEPZQ, 1 hour	adult	whole organism	female	LEPZQ	1 hour	Praziquantel
ERR570492	adult females LEPZQ, 12 hours	adult	whole organism	female	LEPZQ	12 hours	Praziquantel
ERR570516	adult females LEPZQ, 12 hours	adult	whole organism	female	LEPZQ	12 hours	Praziquantel
ERR573052	adult females LEPZQ, 12 hours	adult	whole organism	female	LEPZQ	12 hours	Praziquantel
ERR573076	adult females LEPZQ, 12 hours	adult	whole organism	female	LEPZQ	12 hours	Praziquantel
ERR582508	adult females LEPZQ, 12 hours	adult	whole organism	female	LEPZQ	12 hours	Praziquantel
ERR582532	adult females LEPZQ, 12 hours	adult	whole organism	female	LEPZQ	12 hours	Praziquantel
ERR570485	adult females LEPZQ, 24 hours	adult	whole organism	female	LEPZQ	24 hours	Praziquantel
ERR570509	adult females LEPZQ, 24 hours	adult	whole organism	female	LEPZQ	24 hours	Praziquantel
ERR573021	adult females LEPZQ, 24 hours	adult	whole organism	female	LEPZQ	24 hours	Praziquantel
ERR573045	adult females LEPZQ, 24 hours	adult	whole organism	female	LEPZQ	24 hours	Praziquantel
ERR582501	adult females LEPZQ, 24 hours	adult	whole organism	female	LEPZQ	24 hours	Praziquantel
ERR582525	adult females LEPZQ, 24 hours	adult	whole organism	female	LEPZQ	24 hours	Praziquantel
ERR570484	adult females LEPZQ, 3 hours	adult	whole organism	female	LEPZQ	3 hours	Praziquantel
ERR570508	adult females LEPZQ, 3 hours	adult	whole organism	female	LEPZQ	3 hours	Praziquantel
ERR573020	adult females LEPZQ, 3 hours	adult	whole organism	female	LEPZQ	3 hours	Praziquantel
ERR573044	adult females LEPZQ, 3 hours	adult	whole organism	female	LEPZQ	3 hours	Praziquantel
ERR582500	adult females LEPZQ, 3 hours	adult	whole organism	female	LEPZQ	3 hours	Praziquantel
ERR582524	adult females LEPZQ, 3 hours	adult	whole organism	female	LEPZQ	3 hours	Praziquantel
ERR570502	adult females NMRI	adult	whole organism	female	NMRI		
ERR570526	adult females NMRI	adult	whole organism	female	NMRI		
ERR573005	adult females NMRI	adult	whole organism	female	NMRI		
ERR573029	adult females NMRI	adult	whole organism	female	NMRI		
ERR578146	adult females NMRI	adult	whole organism	female	NMRI		
ERR578170	adult females NMRI	adult	whole organism	female	NMRI		
ERR570501	adult females NMRI, 12 hours	adult	whole organism	female	NMRI	12 hours	Praziquantel
ERR570525	adult females NMRI, 12 hours	adult	whole organism	female	NMRI	12 hours	Praziquantel
ERR573004	adult females NMRI, 12 hours	adult	whole organism	female	NMRI	12 hours	Praziquantel
ERR573028	adult females NMRI, 12 hours	adult	whole organism	female	NMRI	12 hours	Praziquantel
ERR578148	adult females NMRI, 12 hours	adult	whole organism	female	NMRI	12 hours	Praziquantel
ERR578172	adult females NMRI, 12 hours	adult	whole organism	female	NMRI	12 hours	Praziquantel
ERR572956	adult females NMRI, 24 hours	adult	whole organism	female	NMRI	24 hours	Praziquantel
ERR572980	adult females NMRI, 24 hours	adult	whole organism	female	NMRI	24 hours	Praziquantel
ERR573013	adult females NMRI, 24 hours	adult	whole organism	female	NMRI	24 hours	Praziquantel
ERR573037	adult females NMRI, 24 hours	adult	whole organism	female	NMRI	24 hours	Praziquantel
ERR578147	adult females NMRI, 24 hours	adult	whole organism	female	NMRI	24 hours	Praziquantel
ERR578171	adult females NMRI, 24 hours	adult	whole organism	female	NMRI	24 hours	Praziquantel
ERR572955	adult females NMRI, 3 hours	adult	whole organism	female	NMRI	3 hours	Praziquantel
ERR572979	adult females NMRI, 3 hours	adult	whole organism	female	NMRI	3 hours	Praziquantel
ERR573012	adult females NMRI, 3 hours	adult	whole organism	female	NMRI	3 hours	Praziquantel
ERR573036	adult females NMRI, 3 hours	adult	whole organism	female	NMRI	3 hours	Praziquantel
