Run	Condition	developmental_stage	sex
SRR928055	Adult female	adult	female
SRR928056	Adult male	adult	male
SRR928057	Egg	Egg	mixed
SRR928058	L1	L1	mixed
SRR928059	L2	L2	mixed
SRR928060	L2	L2	mixed
SRR928061	L3	L3	mixed
SRR928062	L4 female	L4	female
SRR928063	L4 male	L4	male
