Run	Condition	developmental_stage	host	host_conditions	host_strain	sex
SRR7693871	germ-free conditions	adult	mus musculus	germ-free conditions	C57BL/6	mixed
SRR7693872	germ-free conditions	adult	mus musculus	germ-free conditions	C57BL/6	mixed
SRR7693873	germ-free conditions	adult	mus musculus	germ-free conditions	C57BL/6	mixed
SRR7693874	specific pathogen-free conditions	adult	mus musculus	specific pathogen-free conditions	C57BL/6	mixed
SRR7693875	specific pathogen-free conditions	adult	mus musculus	specific pathogen-free conditions	C57BL/6	mixed
SRR7693876	specific pathogen-free conditions	adult	mus musculus	specific pathogen-free conditions	C57BL/6	mixed
