Run	Condition	developmental_stage	host	strain
SRR2170925	Cercaria	Cercaria	Anas platyrhynchos	Wild
SRR2170926	Cercaria	Cercaria	Anas platyrhynchos	Wild
SRR2170927	Cercaria	Cercaria	Anas platyrhynchos	Wild
SRR2170928	Cercaria	Cercaria	Anas platyrhynchos	Wild
SRR2170929	Schistosomule	Schistosomule	Anas platyrhynchos	Wild
SRR2170930	Schistosomule	Schistosomule	Anas platyrhynchos	Wild
SRR2170931	Schistosomule	Schistosomule	Anas platyrhynchos	Wild
SRR2170935	Schistosomule	Schistosomule	Anas platyrhynchos	Wild
