Run	Condition	genotype	strain	title	developmental_stage	source_name
SRR8492851	SRR8492851	wild type	N2	wild-type N2-1	L4	whole worm
SRR8492852	SRR8492852	wild type	N2	wild-type N2-2	L4	whole worm
SRR8492853	SRR8492853	wild type	N2	wild-type N2-3	L4	whole worm
SRR8492854	SRR8492854	eat-2(ad465)	DA465	eat-2(ad465)-1	L4	whole worm
SRR8492855	SRR8492855	eat-2(ad465)	DA465	eat-2(ad465)-2	L4	whole worm
SRR8492856	SRR8492856	eat-2(ad465)	DA465	eat-2(ad465)-3	L4	whole worm
SRR8492857	SRR8492857	acs-20(tm3232)	DCL29	acs-20(tm3232)-1	L4	whole worm
SRR8492858	SRR8492858	acs-20(tm3232)	DCL29	acs-20(tm3232)-2	L4	whole worm
SRR8492859	SRR8492859	acs-20(tm3232)	DCL29	acs-20(tm3232)-3	L4	whole worm
SRR8492860	SRR8492860	eat-2(ad465); acs-20(tm3232)	DCL33	eat-2(ad465); acs-20(tm3232)-1	L4	whole worm
SRR8492861	SRR8492861	eat-2(ad465); acs-20(tm3232)	DCL33	eat-2(ad465); acs-20(tm3232)-2	L4	whole worm
SRR8492862	SRR8492862	eat-2(ad465); acs-20(tm3232)	DCL33	eat-2(ad465); acs-20(tm3232)-3	L4	whole worm
