Run	Condition	description_title	timepoint	treatment	medium	source_name	strain	temperature
SRR6799134	SRR6799134	OP_L2_rep1	L2 (6h)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799135	SRR6799135	OP_L3_rep1	L3 (24h)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799136	SRR6799136	OP_L4_rep1	L4 (48h)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799137	SRR6799137	OP_ad1_rep1	adults (72h)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799138	SRR6799138	OP_ad3_rep1	adults (3 days)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799139	SRR6799139	OP_ad7_rep1	adults (7 days)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799140	SRR6799140	MYb71_L2_rep1	L2 (6h)	MYb71	mNGM	whole body	N2/Wide type	20C
SRR6799141	SRR6799141	MYb71_L3_rep1	L3 (24h)	MYb71	mNGM	whole body	N2/Wide type	20C
SRR6799142	SRR6799142	MYb71_L4_rep1	L4 (48h)	MYb71	mNGM	whole body	N2/Wide type	20C
SRR6799143	SRR6799143	MYb71_ad1_rep1	adults (72h)	MYb71	mNGM	whole body	N2/Wide type	20C
SRR6799144	SRR6799144	MYb71_ad3_rep1	adults (3 days)	MYb71	mNGM	whole body	N2/Wide type	20C
SRR6799145	SRR6799145	MYb71_ad7_rep1	adults (7 days)	MYb71	mNGM	whole body	N2/Wide type	20C
SRR6799146	SRR6799146	MYb65_L2_rep1	L2 (6h)	MYb65	mNGM	whole body	N2/Wide type	20C
SRR6799147	SRR6799147	MYb65_L3_rep1	L3 (24h)	MYb65	mNGM	whole body	N2/Wide type	20C
SRR6799148	SRR6799148	MYb65_L4_rep1	L4 (48h)	MYb65	mNGM	whole body	N2/Wide type	20C
SRR6799149	SRR6799149	MYb65_ad1_rep1	adults (72h)	MYb65	mNGM	whole body	N2/Wide type	20C
SRR6799150	SRR6799150	MYb65_ad3_rep1	adults (3 days)	MYb65	mNGM	whole body	N2/Wide type	20C
SRR6799151	SRR6799151	MYb65_ad7_rep1	adults (7 days)	MYb65	mNGM	whole body	N2/Wide type	20C
SRR6799152	SRR6799152	OP_L2_rep2	L2 (6h)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799153	SRR6799153	OP_L3_rep2	L3 (24h)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799154	SRR6799154	OP_L4_rep2	L4 (48h)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799155	SRR6799155	OP_ad1_rep2	adults (72h)	OP50	mNGM	whole body	N2/Wide type	20C
SRR6799156	SRR6799156	OP_ad3_rep2	adults (3 days)	OP50	mNGM	whole body	N2/Wide type	20C
