Run	Condition	genotype	title	developmental_stage	source_name
SRR12739779	SRR12739779	nhr-49;glp-1	AGP22_Rep_1	Day 2 Adult	Whole animal
SRR12739780	SRR12739780	nhr-49;glp-1	AGP22_Rep_2	Day 2 Adult	Whole animal
SRR12739781	SRR12739781	nhr-49;glp-1	AGP22_Rep_3	Day 2 Adult	Whole animal
SRR12739782	SRR12739782	nhr-49;glp-1	AGP22_Rep_4	Day 2 Adult	Whole animal
SRR12739783	SRR12739783	glp-1	CF1903_Rep_1	Day 2 Adult	Whole animal
SRR12739784	SRR12739784	glp-1	CF1903_Rep_2	Day 2 Adult	Whole animal
SRR12739785	SRR12739785	glp-1	CF1903_Rep_3	Day 2 Adult	Whole animal
SRR12739786	SRR12739786	glp-1	CF1903_Rep_4	Day 2 Adult	Whole animal
