Run	Sample	Condition	developmental_stage	organism_part	sex	strain	timepoint	treatment
ERR578178	SAMEA2465131	juvenile males and females NMRI	juvenile	whole organism	pooled male and female	NMRI		
ERR570497	SAMEA2464740	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR570521	SAMEA2464740	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR573000	SAMEA2465022	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR573024	SAMEA2465022	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR578156	SAMEA2465133	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR578180	SAMEA2465133	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR572952	SAMEA2464870	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR572976	SAMEA2464870	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR573009	SAMEA2465031	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR573033	SAMEA2465031	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR578155	SAMEA2465132	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR578179	SAMEA2465132	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR572951	SAMEA2464869	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR572975	SAMEA2464869	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR573008	SAMEA2465030	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR573032	SAMEA2465030	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR578157	SAMEA2465134	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR578181	SAMEA2465134	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR570496	SAMEA2464739	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR570520	SAMEA2464739	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR572999	SAMEA2465021	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR573023	SAMEA2465021	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR578158	SAMEA2465135	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR578182	SAMEA2465135	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
