Run	Condition	developmental stage	infection
SRR7471737	Pasteuria penetrans	second stage juvenile	Pasteuria penetrans
SRR7471738	Pasteuria penetrans	second stage juvenile	Pasteuria penetrans
SRR7471735	Uninfected juveniles	second stage juvenile	
SRR7471736	Uninfected juveniles	second stage juvenile	
