Run	Condition	genotype	title	developmental_stage	source_name	strain
SRR9034487	SRR9034487	wild type	N2 rep1	L4	Whole animal	N2
SRR9034488	SRR9034488	wild type	N2 rep2	L4	Whole animal	N2
SRR9034489	SRR9034489	wild type	N2 rep3	L4	Whole animal	N2
SRR9034490	SRR9034490	olrn-1(ums9)	olrn-1(ums9) rep1	L4	Whole animal	N2
SRR9034491	SRR9034491	olrn-1(ums9)	olrn-1(ums9) rep2	L4	Whole animal	N2
SRR9034492	SRR9034492	olrn-1(ums9)	olrn-1(ums9) rep3	L4	Whole animal	N2
SRR9034493	SRR9034493	olrn-1(ums9)	olrn-1(ums9) rep4	L4	Whole animal	N2
