Run	Sample	Condition	sample_name
SRR2054408	SAMN03764220	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR238 DMM238_Z1Z4_Em.	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR238 DMM238_Z1Z4_Em.
SRR2054409	SAMN03764220	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR238 DMM238_Z1Z4_Em.	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR238 DMM238_Z1Z4_Em.
SRR2054410	SAMN03764220	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR238 DMM238_Z1Z4_Em.	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR238 DMM238_Z1Z4_Em.
SRR504317	SAMN01036892	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR239 - DMM239_Z1Z4_Em	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR239 - DMM239_Z1Z4_Em
SRR504318	SAMN01036892	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR239 - DMM239_Z1Z4_Em	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR239 - DMM239_Z1Z4_Em
SRR578030	SAMN01036892	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR239 - DMM239_Z1Z4_Em	Caenorhabditis elegans DZ685 embryonic Z1/Z4 cells DSN treated total RNA library FGSR239 - DMM239_Z1Z4_Em
SRR2043333	SAMN03742151	Caenorhabditis elegans GD74 early embryo pharyngeal gland cell library FGSR221.	Caenorhabditis elegans GD74 early embryo pharyngeal gland cell library FGSR221.
SRR2043334	SAMN03742151	Caenorhabditis elegans GD74 early embryo pharyngeal gland cell library FGSR221.	Caenorhabditis elegans GD74 early embryo pharyngeal gland cell library FGSR221.
SRR2043368	SAMN03742156	Caenorhabditis elegans GD74 early embryo pharyngeal gland cell library FGSR230 DMM230_phar-gl_EE.	Caenorhabditis elegans GD74 early embryo pharyngeal gland cell library FGSR230 DMM230_phar-gl_EE.
SRR2043369	SAMN03742156	Caenorhabditis elegans GD74 early embryo pharyngeal gland cell library FGSR230 DMM230_phar-gl_EE.	Caenorhabditis elegans GD74 early embryo pharyngeal gland cell library FGSR230 DMM230_phar-gl_EE.
SRR2054400	SAMN03764217	Caenorhabditis elegans IX823 larval L2 AFD thermosensory neuron library FGSR234 DMM234_AFD-nrn_L2.	Caenorhabditis elegans IX823 larval L2 AFD thermosensory neuron library FGSR234 DMM234_AFD-nrn_L2.
