Run	Sample	Condition	sample_name
SRR350992	SAMN00737852	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library
SRR350993	SAMN00737852	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library
SRR359088	SAMN00737852	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library
SRR350994	SAMN00737853	Caenorhabditis elegans N2 early embryo EE_50-630 RNA library	Caenorhabditis elegans N2 early embryo EE_50-630 RNA library
SRR350995	SAMN00737853	Caenorhabditis elegans N2 early embryo EE_50-630 RNA library	Caenorhabditis elegans N2 early embryo EE_50-630 RNA library
SRR350996	SAMN00737853	Caenorhabditis elegans N2 early embryo EE_50-630 RNA library	Caenorhabditis elegans N2 early embryo EE_50-630 RNA library
SRR350997	SAMN00737854	Caenorhabditis elegans N2 early embryo EE_50-660 RNA library	Caenorhabditis elegans N2 early embryo EE_50-660 RNA library
SRR350998	SAMN00737854	Caenorhabditis elegans N2 early embryo EE_50-660 RNA library	Caenorhabditis elegans N2 early embryo EE_50-660 RNA library
SRR350999	SAMN00737854	Caenorhabditis elegans N2 early embryo EE_50-660 RNA library	Caenorhabditis elegans N2 early embryo EE_50-660 RNA library
SRR351021	SAMN00737863	Caenorhabditis elegans N2 early embryo EE_50-690 RNA library	Caenorhabditis elegans N2 early embryo EE_50-690 RNA library
SRR351022	SAMN00737863	Caenorhabditis elegans N2 early embryo EE_50-690 RNA library	Caenorhabditis elegans N2 early embryo EE_50-690 RNA library
SRR351040	SAMN00737869	Caenorhabditis elegans N2 early embryo EE_50-720 RNA library	Caenorhabditis elegans N2 early embryo EE_50-720 RNA library
SRR351041	SAMN00737869	Caenorhabditis elegans N2 early embryo EE_50-720 RNA library	Caenorhabditis elegans N2 early embryo EE_50-720 RNA library
SRR332925	SAMN00710422	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library
SRR332926	SAMN00710422	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library
SRR332927	SAMN00710422	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library
SRR350958	SAMN00710422	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library
SRR359066	SAMN00710422	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library	Caenorhabditis elegans N2 early embryo EE_50-90 RNA library
SRR089784	SAMN00189483	Caenorhabditis elegans N2 early embryo RNA biological replicate EE-2	Caenorhabditis elegans N2 early embryo RNA biological replicate EE-2
SRR089785	SAMN00189483	Caenorhabditis elegans N2 early embryo RNA biological replicate EE-2	Caenorhabditis elegans N2 early embryo RNA biological replicate EE-2
SRR089786	SAMN00189483	Caenorhabditis elegans N2 early embryo RNA biological replicate EE-2	Caenorhabditis elegans N2 early embryo RNA biological replicate EE-2
SRR089795	SAMN00189485	Caenorhabditis elegans N2 early embryo array capture RNA biological replicate EE-2cap5	Caenorhabditis elegans N2 early embryo array capture RNA biological replicate EE-2cap5
SRR089796	SAMN00189485	Caenorhabditis elegans N2 early embryo array capture RNA biological replicate EE-2cap5	Caenorhabditis elegans N2 early embryo array capture RNA biological replicate EE-2cap5
SRR493105	SAMN00990577	Caenorhabditis elegans N2 early embryos - DSN treated library N2_EE_DSN-51	Caenorhabditis elegans N2 early embryos - DSN treated library N2_EE_DSN-51
SRR554453	SAMN00990577	Caenorhabditis elegans N2 early embryos - DSN treated library N2_EE_DSN-51	Caenorhabditis elegans N2 early embryos - DSN treated library N2_EE_DSN-51
SRR493358	SAMN00990702	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54
SRR493359	SAMN00990702	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54
SRR493360	SAMN00990702	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54
SRR493361	SAMN00990702	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54
SRR578143	SAMN00990702	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54	Caenorhabditis elegans N2 early embryos – total RNA - library N2_EE_RZ-54
SRR2012782	SAMN03611449	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120222_EMB-0	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120222_EMB-0
SRR2012783	SAMN03611449	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120222_EMB-0	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120222_EMB-0
SRR2012784	SAMN03611449	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120222_EMB-0	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120222_EMB-0
