Run	Sample	Condition	sex	host_organism	genotype_of_experiment_host	tissue	strain	developmental_stage
SRR25993958	SAMN37187622	WT_7d_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR26083834	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083836	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083830	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083827	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083828	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083829	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083831	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083832	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083833	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083835	SAMN37203688	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083877	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083878	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083880	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083883	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083884	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083879	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083885	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083886	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083881	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083882	SAMN37203689	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083889	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083893	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083894	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083888	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083891	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083895	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083887	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083890	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083892	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083896	SAMN37203690	"WT-mouse_adapted_generation_15,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_WT	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083899	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083900	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083901	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083902	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083903	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083904	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083906	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083907	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083908	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
SRR26083905	SAMN37203691	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	Urban_rat-adapted	day_7_adult
