biosample	run_accession	sex	host_organism	genotype_of_experiment_host	genotype_of_passage_host	tissue	treatment	strain	developmental_stage	condition
SAMN37187616	SRR25997171	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_male
SAMN37187616	SRR25997169	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_male
SAMN37187616	SRR25997170	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_male
SAMN37187616	SRR25997173	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_male
SAMN37187616	SRR25997172	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_male
SAMN37187616	SRR25997174	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_male
SAMN37187617	SRR25997189	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_female
SAMN37187617	SRR25997192	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_female
SAMN37187617	SRR25997190	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_female
SAMN37187617	SRR25997191	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_female
SAMN37187618	SRR25997196	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_male
SAMN37187618	SRR25997197	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_male
SAMN37187618	SRR25997198	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_male
SAMN37187618	SRR25997194	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_male
SAMN37187618	SRR25997195	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_male
SAMN37187618	SRR25997193	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_7d_from_rat	MIMR	adult	In_vitro_7d_r_male
SAMN37187619	SRR25993874	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_female
SAMN37187619	SRR25993876	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_female
SAMN37187619	SRR25993875	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_female
SAMN37187619	SRR25993877	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_female
SAMN37187619	SRR25993878	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_female
SAMN37187619	SRR25993873	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_female
SAMN37187620	SRR25993928	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_male
SAMN37187620	SRR25993930	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_male
SAMN37187620	SRR25993927	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_male
SAMN37187620	SRR25993929	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_male
SAMN37187620	SRR25993931	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_male
SAMN37187620	SRR25993932	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_5d_infection	MIMR	adult	WT_5d_male
SAMN37187621	SRR25993949	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_female
SAMN37187621	SRR25993954	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_female
SAMN37187621	SRR25993950	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_female
SAMN37187621	SRR25993951	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_female
SAMN37187621	SRR25993952	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_female
SAMN37187621	SRR25993953	female	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_female
SAMN37187622	SRR25993957	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_male
SAMN37187622	SRR25993960	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_male
SAMN37187622	SRR25993956	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_male
SAMN37187622	SRR25993955	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_male
SAMN37187622	SRR25993959	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_male
SAMN37187622	SRR25993958	male	Mus_musculus	Mus_musculus_WT		whole_animal	WT_7d_infection	MIMR	adult	WT_7d_male
SAMN37203688	SRR26083834	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083836	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083830	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083827	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083828	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083829	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083831	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083832	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083833	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203688	SRR26083835	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_9,_adult_Nb_females,_from_previously_WT-mouse_adapted_Nb"
SAMN37203689	SRR26083877	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083878	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083880	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083883	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083884	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083879	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083885	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083886	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083881	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203689	SRR26083882	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_readapted_generation_7,_adult_Nb_females,_from_previously_STAT6_KO-mouse_adapted_Nb"
SAMN37203690	SRR26083889	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083893	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083894	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083888	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083891	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083895	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083887	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083890	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083892	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203690	SRR26083896	female	Mus_musculus	Mus_musculus_WT	Mus_musculus_WT	whole_animal		Urban_rat-adapted	day_7_adult	"WT-mouse_adapted_generation_15,_adult_Nb_females"
SAMN37203691	SRR26083899	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083900	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083901	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083902	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083903	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083904	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083906	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083907	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083908	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
SAMN37203691	SRR26083905	female	Mus_musculus	Mus_musculus_STAT6_KO	Mus_musculus_STAT6_KO	whole_animal		Urban_rat-adapted	day_7_adult	"STAT6_KO-mouse_adapted_generation_14,_adult_Nb_females"
