biosample	run_accession	sex	host_organism	genotype_of_experiment_host	genotype_of_passage_host	tissue	treatment	strain	developmental_stage	condition
SAMN37187594	SRR25993870	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187594	SRR25993869	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187594	SRR25993867	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187594	SRR25993871	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187595	SRR25994426	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_female
SAMN37187595	SRR25994429	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_female
SAMN37187595	SRR25994424	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_female
SAMN37187595	SRR25994428	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_female
SAMN37187595	SRR25994425	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_female
SAMN37187595	SRR25994427	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_female
SAMN37187596	SRR25994457	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_male
SAMN37187596	SRR25994461	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_male
SAMN37187596	SRR25994459	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_male
SAMN37187596	SRR25994462	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_male
SAMN37187596	SRR25994460	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_male
SAMN37187596	SRR25994458	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_male
SAMN37187597	SRR25994635	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_female
