Run	Condition	developmental_stage	organism_part	sex	strain
SRR1532959	AB	2-cell embryo Ce	AB	hermaphrodite	N2
SRR1532961	AB	2-cell embryo Ce	AB	hermaphrodite	N2
SRR1532963	AB	2-cell embryo Ce	AB	hermaphrodite	N2
SRR1532960	P1	2-cell embryo Ce	P1	hermaphrodite	N2
SRR1532962	P1	2-cell embryo Ce	P1	hermaphrodite	N2
SRR1532964	P1	2-cell embryo Ce	P1	hermaphrodite	N2
