	ERR048962	ERR048970	ERR048972	ERR048961	ERR048967	ERR048969	ERR048974	ERR048964	ERR048963	ERR048971	ERR048973	ERR048965
WBGene00220631	24	20	54	13	8	19	2	0	2	1	5	8
WBGene00220632	0	0	0	9	0	0	0	0	0	0	0	0
WBGene00220633	1	0	6	6	1	1	0	0	0	0	0	0
WBGene00220634	0	0	1	0	2	2	23	1	0	0	1	0
WBGene00220635	3	8	9	62	10	19	26	3	4	3	8	1
WBGene00220636	0	0	0	88	4	3	5	23	0	0	0	1
WBGene00220637	228	206	580	143	110	215	488	7	59	56	85	75
WBGene00220638	0	0	0	433	0	1	0	0	0	0	0	2
WBGene00220641	0	0	0	0	0	0	10	0	0	0	0	0
WBGene00220643	33	29	110	61	7	18	514	1	74	48	97	60
WBGene00220644	19	8	36	13	18	25	88	2	18	11	19	7
WBGene00220645	6	10	30	4	18	23	0	30	0	0	0	1
WBGene00220646	16	7	21	58	12	34	451	0	51	38	65	3
WBGene00220649	0	0	0	376	0	0	10	0	0	1	0	3
WBGene00220652	26	28	78	7	12	28	124	0	12	8	12	1
WBGene00220654	5	1	8	6	11	18	126	0	13	3	17	11
WBGene00220655	202	166	489	357	274	539	790	15	96	101	121	217
WBGene00220658	0	0	0	1	1	4	7	0	0	1	0	0
WBGene00220659	1671	1480	3980	1299	931	1793	4714	317	764	515	877	961
WBGene00220660	0	0	2	3	2	11	21	0	6	4	6	1
WBGene00220661	1	1	5	31	3	6	96	3	7	6	7	0
WBGene00220664	48	77	212	41	12	28	80	6	10	21	25	47
WBGene00220665	1	0	1	15	6	2	89	1	1	2	1	0
WBGene00220666	1175	1042	2831	1625	613	1250	1944	204	459	276	558	335
WBGene00220668	25	14	70	85	44	82	275	1	19	18	30	36
WBGene00220669	1162	886	2421	6155	1215	2314	11056	2	2380	1608	2868	3807
WBGene00220671	0	1	7	1	1	5	18	0	2	1	2	1
WBGene00220672	25	17	57	8	31	47	14	0	5	3	2	4
WBGene00220673	3	2	5	3	0	5	15	0	1	0	1	0
WBGene00220675	3	9	17	40	11	11	73	1	8	3	19	2
WBGene00220676	5	9	10	137	1	4	212	5	20	26	22	0
WBGene00220678	258	253	681	424	323	641	1353	15	146	107	187	189
WBGene00220679	458	408	1104	558	252	555	1474	4	136	94	133	238
WBGene00220681	9	4	21	5	11	10	40	0	0	1	3	3
WBGene00220682	25	49	76	25	20	50	231	6	8	5	18	15
WBGene00220683	7	7	23	1	1	3	4	0	0	0	1	0
WBGene00220684	0	0	0	4	0	0	90	0	5	2	9	0
WBGene00220685	64	47	129	217	277	496	2150	37	52	37	55	44
WBGene00220688	373	356	951	1423	546	1081	3181	0	531	436	762	499
WBGene00220694	30	30	73	44	55	93	278	61	27	7	23	32
WBGene00220695	11	10	28	19	10	12	58	30	1	3	9	18
WBGene00220696	8	11	20	239	44	67	746	35	28	22	35	14
WBGene00220698	0	0	0	164	0	2	6	5	0	0	0	0
WBGene00220702	2	1	0	10	2	4	6	3	3	2	5	0
WBGene00220704	173	100	325	441	180	322	464	0	101	84	119	212
WBGene00220706	488	447	1153	705	282	589	3789	43	346	254	423	190
WBGene00220707	656	571	1636	2247	133	249	4978	0	699	499	816	228
WBGene00220711	30	17	71	34	40	67	98	0	13	15	17	1
WBGene00220712	11	10	21	110	18	30	462	0	16	25	30	11
WBGene00220713	2	3	10	130	27	38	90	16	23	17	33	17
WBGene00220714	0	1	0	124	2	4	13	8	0	4	0	0
WBGene00220716	0	3	6	3	4	25	65	0	1	0	1	4
WBGene00220718	0	1	1	1	0	3	36	0	2	2	3	0
WBGene00220719	1	0	0	0	0	0	0	1	0	0	0	0
WBGene00220720	2	4	6	1	1	1	14	0	18	19	30	0
WBGene00220721	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220722	0	1	0	1	0	0	3	0	1	0	4	0
WBGene00220735	534	479	1410	244	111	200	339	4	74	60	94	107
WBGene00220736	649	468	1230	156	110	227	363	5	80	74	93	25
WBGene00220737	268	182	542	1100	227	389	1089	232	158	115	172	553
WBGene00220738	0	0	0	7	1	0	3	0	0	0	0	0
WBGene00220740	58	55	137	849	122	239	2490	0	259	194	351	47
WBGene00220742	22	29	98	38	21	28	123	0	4	9	9	18
WBGene00220743	395	483	1553	491	87	164	1245	0	139	89	192	163
WBGene00220744	15	10	17	25	43	82	35	0	3	6	6	1
WBGene00220745	4165	3603	9331	187	1592	3227	704	0	62	55	111	234
WBGene00220746	91	68	171	143	111	175	892	5	52	45	68	11
WBGene00220748	5	7	17	1367	10	12	19	0	3	1	8	11
WBGene00220749	26	23	69	276	18	45	12	35	0	2	1	8
WBGene00220750	3	2	6	162	24	45	56	80	1	0	3	2
WBGene00220751	0	0	0	53	2	1	49	0	1	3	1	1
WBGene00220752	5	1	3	10	22	12	28	642	3	4	2	0
WBGene00220753	447	421	1103	1587	675	1375	5804	182	636	449	771	625
WBGene00220756	103	105	322	200	117	253	682	70	70	66	86	125
WBGene00220757	898	611	1601	1482	341	665	5038	14	726	541	964	408
WBGene00220759	0	0	0	1	0	1	3	0	0	0	0	0
WBGene00220761	2125	1678	4235	1935	781	1594	4492	27	1534	1025	1876	801
WBGene00220762	72	52	137	161	65	150	141	0	61	58	94	76
WBGene00220763	0	0	2	278	3	2	165	5	4	3	7	0
WBGene00220767	0	0	0	0	0	0	5	0	0	0	0	0
WBGene00220768	854	667	1814	792	699	1393	3828	30	503	357	672	587
WBGene00220770	0	1	1	450	5	9	119	14	3	3	5	3
WBGene00220775	0	1	0	1	0	1	2	0	0	0	0	0
WBGene00220777	0	0	0	12	0	0	190	0	0	0	0	0
WBGene00220780	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220783	92	77	208	4	33	50	11	48	0	0	0	3
WBGene00220787	26	29	62	23	74	126	108	18	10	3	10	5
WBGene00220789	8	9	27	35	11	23	92	0	5	6	11	10
WBGene00220791	26	22	46	225	15	28	396	0	26	29	40	13
WBGene00220794	23	20	61	1096	66	117	569	0	115	96	133	24
WBGene00220797	22	17	32	13	27	35	73	0	22	12	19	0
WBGene00220798	0	0	0	5	0	0	0	0	0	0	0	0
WBGene00220799	2	1	2	31	10	9	55	0	2	6	9	5
WBGene00220801	176	173	549	54	63	137	159	0	18	14	18	48
WBGene00220802	56	44	76	73	16	39	244	6	60	41	72	204
WBGene00220805	11	7	19	11	7	21	3	0	4	2	2	21
WBGene00220806	77	69	213	130	87	174	925	23	41	35	72	17
WBGene00220807	31	65	119	50	23	82	217	30	16	15	23	33
WBGene00220808	0	0	0	2	0	0	28	0	0	0	0	0
WBGene00220809	0	0	1	619	3	4	19	5	0	2	1	4
WBGene00220812	0	0	1	9	4	0	229	22	5	4	3	0
WBGene00220817	89	78	187	333	205	329	408	46	69	55	75	106
WBGene00220819	0	0	1	127	2	0	0	17	0	0	0	2
WBGene00220820	0	0	2	312	1	4	35	0	1	1	3	5
WBGene00220823	11	8	46	36	5	37	11	0	53	18	3	35
WBGene00220825	1	0	0	31	0	1	0	0	0	0	0	1
WBGene00220828	85	107	251	264	86	154	2395	0	171	157	234	20
WBGene00220829	98	61	213	185	74	117	708	2	55	36	82	30
WBGene00220831	6	1	7	6	6	12	10	0	4	1	9	3
WBGene00220834	550	523	1471	414	365	663	1675	101	135	98	204	245
WBGene00220835	232	231	670	586	155	271	1683	36	179	157	280	70
WBGene00220836	205	152	401	1400	224	462	1791	45	287	237	379	334
WBGene00220839	33	35	92	119	15	14	2254	47	208	118	251	1
WBGene00220840	8	10	28	1	2	0	465	0	2	2	5	0
WBGene00220844	29	29	90	54	32	61	587	4	84	74	117	83
WBGene00220845	39	33	83	14	24	65	86	3	10	7	14	58
WBGene00220846	119	67	157	29	2	20	10	0	10	8	8	8
WBGene00220849	497	484	1120	413	149	296	1283	4	202	156	274	234
WBGene00220851	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220853	11	10	34	37	3	6	59	6	10	8	13	15
WBGene00220854	0	1	1	237	2	2	0	4	0	0	0	4
WBGene00220855	214	171	354	258	202	409	334	24	52	44	90	206
WBGene00220860	0	0	1	24	3	1	128	52	7	9	18	5
WBGene00220862	1	1	0	1	9	16	40	0	0	0	0	2
WBGene00220865	133	102	301	342	59	105	2273	10	385	314	532	73
WBGene00220866	130	134	390	81	41	83	238	0	27	17	28	46
WBGene00220867	13	12	44	24	39	73	401	0	14	11	13	22
WBGene00220870	61	35	117	185	39	81	168	27	17	20	13	78
WBGene00220873	0	0	0	29	0	2	2	0	1	1	0	1
WBGene00220875	9	7	19	4	1	5	36	0	6	2	10	7
WBGene00220877	492	445	1223	924	305	583	1357	35	249	154	324	212
WBGene00220878	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220879	38	29	87	2239	11	15	204	73	5	9	12	41
WBGene00220880	23	21	48	7	1	1	60	0	1	0	0	1
WBGene00220881	14	21	41	258	153	331	369	0	84	57	73	77
WBGene00220882	47	45	91	217	58	106	1428	73	57	39	62	60
WBGene00220884	0	1	1	2	1	4	2	0	0	0	0	1
WBGene00220885	6	14	21	99	15	29	448	57	4	9	10	15
WBGene00220886	11	2	15	0	3	7	9	3	1	0	2	3
WBGene00220887	3	3	6	95	8	22	70	27	0	0	1	1
WBGene00220889	3	1	6	15	8	5	10	55	5	1	3	4
WBGene00220890	14	11	36	129	7	5	346	33	22	12	32	8
WBGene00220891	50	53	152	619	26	28	2787	77	183	154	265	13
WBGene00220893	10	8	12	1	1	5	1	1	0	0	0	1
WBGene00220896	2	3	7	48	40	62	319	36	24	18	37	7
WBGene00220897	2071	1893	5613	288	244	515	1822	0	194	146	215	200
WBGene00220898	431	404	1195	475	135	280	659	0	148	119	201	203
WBGene00220909	2	6	6	2	4	2	1	0	0	1	2	5
WBGene00220914	21	18	23	54566	6	19	70	11	16	11	9	234
WBGene00220915	0	0	0	4	0	1	0	0	0	0	0	0
WBGene00220920	3	0	8	394	2	11	3	42	2	3	2	6
WBGene00220921	116	95	293	308	91	158	1736	63	106	40	112	26
WBGene00220922	4	1	7	43	3	12	78	2	6	9	4	1
WBGene00220925	2	0	3	18	7	25	58	0	4	3	4	0
WBGene00220928	32	23	64	281	25	61	799	0	279	201	365	28
WBGene00220929	104	97	256	44	83	116	71	0	28	20	35	162
WBGene00220930	3	0	3	8	1	1	1	0	0	1	0	0
WBGene00220935	0	0	0	103	1	1	4	0	0	0	0	1
WBGene00220936	6	5	8	19	8	10	474	0	6	6	3	6
WBGene00220939	37	33	85	444	2	2	1655	0	261	196	315	35
WBGene00220943	48	35	117	56	27	73	54	0	10	5	10	88
WBGene00220944	50	27	118	5	23	34	17	0	1	1	1	72
WBGene00220949	17	19	31	8	24	72	266	2	23	18	34	26
WBGene00220953	0	0	0	0	0	0	1	0	0	0	0	0
WBGene00220954	15	25	58	132	19	26	610	0	14	16	23	13
WBGene00220955	1	1	6	4	13	32	91	17	9	1	9	0
WBGene00220956	36	37	80	23	14	36	188	0	22	12	25	8
WBGene00220960	33	23	66	65	103	194	1028	4	75	76	119	21
WBGene00220961	16	13	33	20	37	73	234	0	10	14	10	19
WBGene00220970	11	8	31	23	48	80	116	105	13	8	16	8
WBGene00220975	115	104	225	343	68	102	626	0	100	88	174	147
WBGene00220980	141	107	282	49	93	184	52	1	11	6	8	105
WBGene00220981	8	9	26	292	35	44	193	78	4	3	8	7
WBGene00220982	20	6	42	1	17	40	6	5	0	0	0	9
WBGene00220985	165	153	494	550	229	432	1946	0	165	108	214	131
WBGene00220986	0	6	7	127	6	9	508	0	12	12	21	0
WBGene00220989	102	100	198	136	119	171	888	4	23	33	48	84
WBGene00220990	678	583	1821	2163	871	1878	3789	65	510	362	655	884
WBGene00220992	27	30	66	109	19	27	230	17	8	8	11	17
WBGene00220996	299	263	808	1987	84	176	753	204	136	114	178	32
WBGene00221002	3	8	10	9	24	31	4	0	0	0	1	0
WBGene00221009	3	3	5	32	2	2	147	1	3	2	6	21
WBGene00221010	0	0	0	0	5	7	0	33	0	0	0	0
WBGene00221016	282	247	675	366	258	457	738	120	119	65	137	148
WBGene00221019	0	1	0	0	1	1	0	0	0	0	0	0
WBGene00221054	36	29	116	15	24	32	25	23	1	0	0	0
WBGene00221056	1	0	1	3	3	4	415	80	4	1	5	0
WBGene00221057	12	15	41	441	27	39	25	20	1	0	1	7
WBGene00221059	17	10	38	7	30	52	18	37	0	0	0	2
WBGene00221073	11	12	21	6	17	39	67	17	0	2	4	1
WBGene00221076	101	63	234	65	47	73	570	1	69	61	73	58
WBGene00221077	0	0	0	40	5	15	839	45	6	6	9	0
WBGene00221078	458	372	1133	23	107	181	2	146	0	0	0	1
WBGene00221079	914	743	2149	22	104	144	68	298	2	1	1	4
WBGene00221080	94	83	252	220	59	97	0	22	0	0	0	2
WBGene00221083	43	42	109	224	43	90	1058	81	184	141	250	9
WBGene00221085	0	1	0	2	1	2	0	4	0	0	0	0
WBGene00221086	0	0	0	0	0	0	0	7	0	0	0	0
WBGene00221089	22	23	58	106	62	140	943	148	34	26	54	54
WBGene00221090	15	19	45	576	11	14	7129	29	263	228	358	13
WBGene00221093	0	0	0	36	0	0	2	0	0	0	0	0
WBGene00221094	52	29	106	350	90	136	1631	6	506	368	596	15
WBGene00221095	0	0	1	173	0	3	4	25	0	0	0	4
WBGene00221097	22	13	49	249	1	5	61	0	1	1	2	5
WBGene00221102	1	0	0	5	5	7	0	0	3	1	0	1
WBGene00221103	1	0	0	41	0	1	0	13	0	0	0	2
WBGene00221112	24	29	50	50	27	45	7	3	6	1	9	5
WBGene00221113	0	0	0	0	1	2	0	14	0	0	0	0
WBGene00221117	537	522	1512	2228	18	21	5386	9	2469	1884	3186	6
WBGene00221119	0	0	2	29	3	4	10	2	0	0	1	0
WBGene00221120	168	125	416	672	71	165	2621	52	538	353	629	98
WBGene00221121	0	1	1	30	0	3	404	0	2	1	1	1
WBGene00221122	4	0	0	2	0	0	1	0	1	2	3	0
WBGene00221125	8	6	19	75	6	13	44	0	10	8	12	8
WBGene00221134	1	2	3	0	5	15	14	9	2	2	9	0
WBGene00221135	112	113	247	289	128	186	1221	15	104	75	134	68
WBGene00221137	0	0	0	932	0	0	157	0	5	4	9	0
WBGene00221138	102	90	262	365	89	209	5228	2	450	335	582	102
WBGene00221140	197	184	503	261	140	305	2077	83	205	148	273	101
WBGene00221144	8	8	25	110	33	44	409	0	22	15	22	12
WBGene00221146	1	1	5	24	8	12	278	17	1	0	2	3
WBGene00221153	3	2	13	1	2	5	2	0	0	0	0	0
WBGene00221154	0	0	0	4	0	1	1	1	0	0	0	10
WBGene00221155	0	0	0	1	0	0	1	0	0	0	0	0
WBGene00221162	0	0	0	34	4	2	1	23	0	0	0	0
WBGene00221169	25	29	78	313	82	125	733	194	32	30	46	11
WBGene00221170	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00221199	0	0	0	0	0	0	2	0	0	0	0	0
WBGene00221200	0	0	0	0	5	14	0	22	0	0	0	1
WBGene00221205	1	0	0	2083	8	7	14	0	0	0	0	14
WBGene00221208	6	6	13	1	4	2	0	0	4	3	1	6
WBGene00221211	30	16	15	541	115	122	1639	7	344	184	260	350
WBGene00221212	36	30	85	275	36	44	484	142	52	21	56	22
WBGene00221217	220	189	492	269	124	239	600	47	78	43	99	66
WBGene00221226	151	140	334	156	169	352	1175	0	126	111	172	151
WBGene00221231	2	1	0	30	18	23	298	24	15	12	17	3
WBGene00221235	10	13	22	20	23	36	31	0	4	3	4	3
WBGene00221236	325	340	970	842	471	932	2956	144	194	181	237	275
WBGene00221239	1	0	0	66	0	0	1	0	0	0	0	0
WBGene00221241	121	101	346	461	181	328	2520	79	223	155	288	131
WBGene00221242	0	0	0	12	0	3	0	13	0	0	0	1
WBGene00221255	29	32	79	539	48	91	0	27	2	2	2	8
WBGene00221258	2	2	1	1	1	3	3	0	0	0	0	1
WBGene00221265	2	0	1	2	2	1	6	1	0	0	0	0
WBGene00221266	3	1	8	61	12	10	20	0	4	6	5	3
WBGene00221267	55	42	97	457	156	297	599	83	78	61	75	70
WBGene00221268	1587	1296	3205	932	564	1100	1717	25	292	225	415	888
WBGene00221269	66	47	135	93	41	99	501	0	27	14	36	26
WBGene00221272	7	6	14	584	8	16	53	0	2	0	2	6
WBGene00221274	902	859	2416	908	279	534	1166	0	281	203	335	222
WBGene00221276	25	12	46	1	23	62	70	0	1	1	1	1
WBGene00221277	118	86	233	20	59	109	153	3	17	15	38	99
WBGene00221278	11	6	32	63	37	70	111	0	20	10	28	9
WBGene00221282	109	99	303	21	72	132	449	0	31	20	37	49
WBGene00221284	272	276	850	1159	4	20	717	15	25	21	25	17
WBGene00221285	46	55	111	84	154	288	769	51	41	29	48	44
WBGene00221286	35	25	63	323	17	30	103	1	31	29	37	8
WBGene00221287	0	0	2	11	3	9	51	1	1	3	2	1
WBGene00221288	31	33	63	23	13	21	124	1	7	3	12	15
WBGene00221289	4	2	7	4	1	2	20	0	2	2	2	0
WBGene00221290	3	2	1	545	3	4	7	9	2	0	0	3
WBGene00221291	164	193	496	699	115	215	1638	0	302	267	439	271
WBGene00221293	29	23	62	44	13	25	201	0	14	8	17	33
WBGene00221295	276	277	919	141	81	160	274	8	16	19	26	87
WBGene00221296	11	7	21	65	21	44	49	0	4	6	16	7
