	ERR048962	ERR048970	ERR048972	ERR048961	ERR048967	ERR048969	ERR048974	ERR048964	ERR048963	ERR048971	ERR048973	ERR048965
WBGene00220263	2470	2394	6819	2286	1509	2910	4481	210	497	407	620	726
WBGene00220265	16	7	33	4	27	46	7	45	0	0	1	5
WBGene00220269	7	4	10	19	47	72	98	0	21	12	23	9
WBGene00220274	12	17	39	960	31	44	913	0	49	45	64	22
WBGene00220275	0	0	1	0	0	0	6	0	7	5	0	13
WBGene00220276	117	120	391	309	80	119	781	41	60	73	114	54
WBGene00220277	128	90	240	2	23	36	11	22	2	2	3	7
WBGene00220278	0	0	4	9	0	0	0	0	0	1	0	0
WBGene00220280	241	233	658	1271	254	536	5000	17	423	350	604	154
WBGene00220281	0	0	0	84	1	0	2	2	1	0	0	0
WBGene00220284	10556	3582	9237	5325	3219	6934	1577	3	15239	5597	9349	43991
WBGene00220288	3431	3501	10479	26041	1981	3812	9503	4	4575	3506	5906	2595
WBGene00220289	5	4	12	2049	41	71	640	4	94	85	140	23
WBGene00220294	179	109	302	1025	956	1766	31	0	1342	1520	2433	937
WBGene00220302	0	1	0	2	0	1	2	0	0	0	0	486
WBGene00220303	5	0	8	18	5	15	38	0	5	5	1	5
WBGene00220306	16	9	29	115	115	221	4535	157	160	119	210	26
WBGene00220308	23	13	39	24	14	42	25	21	52	33	69	19
WBGene00220309	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220310	16	13	26	8	13	15	158	2	5	3	7	33
WBGene00220316	0	0	0	0	1	0	0	4	0	0	0	0
WBGene00220317	3	2	9	89	0	4	155	5	33	38	50	0
WBGene00220320	58	44	126	191	108	188	447	206	44	30	53	10
WBGene00220321	16	18	36	11	5	7	72	30	7	10	11	0
WBGene00220328	0	2	0	175	2	4	1	2	5	5	1	1
WBGene00220335	48	34	114	124	16	30	65	39	11	9	18	5
WBGene00220337	10	3	15	1	0	2	468	4	9	8	19	0
WBGene00220341	16	22	56	64	31	56	112	0	6	5	10	21
WBGene00220346	25	25	51	3757	29	61	2	132	1	3	1	47
WBGene00220348	7	5	9	2	3	6	12	0	0	0	2	8
WBGene00220352	342	293	708	171	49	111	602	0	149	81	134	90
WBGene00220355	21	23	73	49	36	86	25	0	5	3	18	0
WBGene00220356	6	5	20	135	1	2	8	0	1	1	0	0
WBGene00220358	82	65	190	847	47	93	15059	22	1185	867	1560	244
WBGene00220359	10	6	20	20	12	38	372	7	10	4	17	13
WBGene00220360	12	8	31	1	2	4	1	13	0	0	0	38
WBGene00220368	18	6	33	9	7	8	1	0	2	0	0	0
WBGene00220376	1653	913	2733	11019	2445	4386	22019	1	7063	3982	6912	9212
WBGene00220380	2	1	3	10	26	22	26	46	1	0	2	3
WBGene00220387	1707	1662	4365	17983	1315	1854	239446	10864	4781	3757	6089	1453
WBGene00220389	23	23	47	67	11	12	13	11	4	2	3	9
WBGene00220390	0	1	2	332	6	7	656	112	14	13	20	4
WBGene00220391	66	64	214	6	148	259	62	77	28	13	22	2
WBGene00220396	7	9	40	1	32	29	22	88	0	0	0	0
WBGene00220398	8	10	27	613	8	4	9	52	2	0	0	3
WBGene00220406	0	0	0	89	0	1	0	1	0	0	0	0
WBGene00220407	0	0	1	11	7	9	33	4	0	0	0	0
WBGene00220409	4	2	7	19	4	17	9	5	24	22	28	8
WBGene00220411	99	105	307	14	25	15	29	120	1	1	4	0
WBGene00220416	1	2	1	6	4	1	769	0	8	5	9	3
WBGene00220418	0	0	0	0	3	1	1	0	0	0	0	0
WBGene00220421	0	0	0	0	1	1	0	1	0	0	0	0
WBGene00220422	101	65	156	5	122	279	3	44	2	0	0	11
WBGene00220424	125	143	441	72	38	76	484	0	27	29	42	52
WBGene00220425	419	154	367	9013	294	666	30	0	419	217	363	1505
WBGene00220433	11	15	28	99	78	122	356	110	11	10	10	26
WBGene00220434	57	59	141	261	56	130	9	0	141	85	170	51
WBGene00220438	168	28	299	117	40	105	9	0	43	22	18	69
WBGene00220439	155	15	49	617	139	329	28	0	341	28	30	445
WBGene00220441	0	0	0	0	0	0	2	0	0	0	0	0
WBGene00220443	1431	1193	3179	548	1516	3089	2492	2	382	299	506	1040
WBGene00220444	8	7	24	34	14	42	270	2	51	44	53	0
WBGene00220450	10	5	14	13	0	3	76	0	3	2	8	1
WBGene00220454	12	5	20	3	4	7	99	0	18	17	28	0
WBGene00220456	0	0	0	6	0	2	3	5	0	0	0	0
WBGene00220457	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220458	0	0	2	2	0	0	0	0	0	0	1	20
WBGene00220460	0	0	0	0	1	2	0	7	0	0	0	0
WBGene00220465	25	36	96	9	14	25	9	0	4	0	1	2
WBGene00220466	0	3	5	9	11	11	1	97	0	1	2	2
WBGene00220469	17	17	38	140	27	38	719	1	32	21	19	4
WBGene00220477	0	1	2	26	1	4	212	2	7	0	8	2
WBGene00220480	0	1	3	656	0	7	4	30	0	0	0	3
WBGene00220481	1	1	4	226	2	3	1012	16	43	36	49	2
WBGene00220483	3	6	8	71	4	14	449	2	39	14	32	14
WBGene00220487	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220489	33	30	65	215	20	18	76	0	3	4	6	3677
WBGene00220491	12	4	16	212	25	38	801	12	61	37	76	9
WBGene00220492	114	120	295	8	62	119	1	0	0	0	0	1600
WBGene00220494	363	285	808	631	244	453	1620	139	207	161	256	148
WBGene00220495	0	0	0	6	2	2	18	0	2	0	1	0
WBGene00220496	10	3	23	13	15	18	82	0	3	2	6	6
WBGene00220498	1	2	5	30	1	8	127	0	4	2	5	3
WBGene00220499	703	552	1103	369	261	512	470	56	101	64	108	246
WBGene00220500	1	0	0	2	1	0	1	1	1	0	0	0
WBGene00220502	8	4	22	2	50	99	18	33	1	1	0	0
WBGene00220503	1	0	0	78	6	6	1530	4	3	5	9	0
WBGene00220504	11	9	24	22	14	12	1165	35	7	4	9	0
WBGene00220507	4	4	1	1833	11	22	5	286	4	2	5	8
WBGene00220510	0	0	0	38	0	1	0	4	0	0	0	0
WBGene00220511	7	8	32	3	31	58	2175	23	76	61	102	26
WBGene00220514	9	9	28	1	27	51	3	0	0	0	0	1
WBGene00220515	4	1	20	122	22	30	1760	135	46	39	68	5
WBGene00220516	15	7	12	16889	10	12	6	2	2	0	3	94
WBGene00220518	0	0	1	3	0	0	2	0	1	0	1	0
WBGene00220519	5	11	26	18	14	32	27	0	3	2	2	5
WBGene00220522	10	14	36	33	20	51	22	0	1	1	4	14
WBGene00220524	0	0	0	36	0	0	0	0	0	0	0	0
WBGene00220525	157	134	362	407	118	233	625	40	56	41	70	55
WBGene00220526	13	15	24	4	3	10	157	13	13	7	11	22
WBGene00220527	14	12	28	135	22	25	1555	18	49	48	65	14
WBGene00220528	8	4	26	17	4	22	56	2	4	3	10	4
WBGene00220529	0	3	2	19	1	5	1	10	0	0	1	2
WBGene00220530	16	6	23	174	22	30	199	62	333	258	444	16
WBGene00220531	59	52	135	300	95	165	582	0	51	48	81	53
WBGene00220532	96	109	297	52	62	102	172	0	5	4	4	4
WBGene00220533	0	0	0	25	0	0	0	2	0	1	0	0
WBGene00220536	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220537	1	1	1	148	0	5	36	0	4	0	2	3
WBGene00220538	1	1	3	16	1	1	22	0	2	2	3	0
WBGene00220539	22	25	41	15	6	12	54	0	1	3	3	10
WBGene00220541	12	4	18	25	19	41	203	28	8	9	10	13
WBGene00220542	74	49	172	9	16	45	35	0	10	4	9	46
WBGene00220543	3	3	2	1	1	3	4	12	3	2	2	1
WBGene00220544	26	23	79	260	14	18	8	4	2	1	4	2
WBGene00220546	0	0	0	47	0	1	0	3	0	0	0	0
WBGene00220547	4	2	11	7	6	8	20	28	4	6	7	6
WBGene00220549	4	5	10	92	18	32	599	71	20	14	19	10
WBGene00220552	67	62	193	364	164	300	967	72	51	43	101	89
WBGene00220554	0	0	0	72	4	5	0	10	0	0	0	5
WBGene00220555	41	55	157	1343	5	10	2750	0	125	114	150	3
WBGene00220556	21	25	53	13	27	39	63	44	11	9	13	0
WBGene00220557	44	32	101	99	30	72	213	49	14	15	19	29
WBGene00220561	3	3	8	24	10	29	161	1	6	2	7	14
WBGene00220563	0	0	0	28	4	4	50	24	1	0	0	2
WBGene00220564	5	11	25	10	11	10	15	0	8	4	13	5
WBGene00220566	3	0	0	102	6	11	13	15	1	0	0	5
WBGene00220568	42	27	94	445	11	34	8	30	3	0	3	1
WBGene00220573	18	18	41	99	26	38	274	13	12	8	10	15
WBGene00220576	11	2	24	88	17	39	1844	7	62	56	93	9
WBGene00220579	35	28	76	5	20	21	15	0	8	4	4	4
WBGene00220580	6	10	18	28	23	36	214	0	22	11	34	8
WBGene00220581	4	7	15	99	4	8	8	0	2	2	0	2
WBGene00220582	47	26	89	176	55	144	605	8	31	35	40	101
WBGene00220584	28	26	76	4	13	24	3	13	1	1	0	0
WBGene00220585	29	13	33	167	2	19	606	0	107	96	144	17
WBGene00220588	72	58	171	46	2	6	857	8	64	49	85	3
WBGene00220589	18	27	67	164	16	29	154	22	9	7	14	23
WBGene00220590	34	31	65	9	33	47	111	15	9	5	5	1
WBGene00220594	10	5	23	142	46	59	781	94	12	4	15	9
WBGene00220596	13	11	51	56	8	8	46	0	2	4	7	17
WBGene00220598	110	99	298	12	16	59	53	7	3	0	3	3
WBGene00220599	60	58	175	52	27	71	440	1	39	33	49	51
WBGene00220600	0	11	10	33	5	6	4	0	4	4	4	1
WBGene00220601	0	0	0	2659	0	0	19	0	0	0	0	13
WBGene00220602	5	4	13	15	2	5	66	0	4	4	1	0
WBGene00220608	89	82	212	282	36	79	799	0	76	54	102	56
WBGene00220609	327	256	721	536	191	389	963	89	103	59	99	134
WBGene00220610	27	15	64	87	77	144	415	124	28	17	24	29
WBGene00220614	3	2	1	1	2	3	8	0	5	1	2	1
WBGene00220615	3	12	24	98	27	52	72	40	38	31	60	10
WBGene00220617	0	0	0	635	3	4	10	27	0	0	0	4
WBGene00220618	1	0	0	584	2	4	3	22	0	0	0	2
WBGene00220619	82	68	134	296	368	329	484	6557	33	22	28	47
WBGene00220620	9	10	17	6	11	13	73	24	9	6	8	6
WBGene00220621	1	3	5	97	19	33	835	54	0	0	0	1
WBGene00220624	1	5	5	10	20	37	94	51	7	2	5	4
WBGene00220625	1	3	4	3	11	15	1	16	1	0	0	3
WBGene00220626	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220627	0	2	2	9	0	1	45	1	0	0	0	0
WBGene00220628	24	19	39	27	15	25	6259	2	3	2	6	8
