# Gene expression in TPM for each run in  study ERP000948
	ERR048962	ERR048970	ERR048972	ERR048961	ERR048967	ERR048969	ERR048974	ERR048964	ERR048963	ERR048971	ERR048973	ERR048965
WBGene00220262	0	0	0	6.93	1.02	2.11	0.14	142.45	0	0	0	0
WBGene00220263	80.77	97	106.72	43.36	84.64	83.86	33.6	51.18	21.61	24.32	22.06	37.57
WBGene00220265	10.11	5.48	9.98	1.47	29.25	25.6	1.01	211.8	0	0	0.69	5
WBGene00220269	23.14	16.38	15.82	36.42	266.47	209.71	74.28	0	92.29	72.49	82.72	47.07
WBGene00220274	5.79	10.16	9	268.44	25.64	18.69	100.94	0	31.41	39.65	33.57	16.78
WBGene00220275	0	0	0.02	0	0	0	0.05	0	0.33	0.32	0	0.72
WBGene00220276	54.21	68.9	86.71	83.04	63.58	48.59	82.98	141.58	36.96	61.82	57.47	39.59
WBGene00220277	109.11	95.06	97.91	0.99	33.63	27.04	2.15	139.75	2.27	3.12	2.78	9.44
WBGene00220278	0	0	3.58	9.77	0	0	0	0	0	3.42	0	0
WBGene00220280	67.83	81.25	88.63	207.46	122.62	132.93	322.68	35.65	158.28	180.02	184.96	68.58
WBGene00220281	0	0	0	36.32	1.28	0	0.34	11.11	0.99	0	0	0
WBGene00220284	5793.85	2436.04	2426.4	1695.07	3030.47	3353.69	198.48	12.27	11120.46	5614.23	5583.06	38204.75
WBGene00220288	4536.34	5735.46	6630.84	19968.32	4492.53	4441.28	2881.06	39.41	8042.19	8471.56	8496.06	5428.85
WBGene00220289	11.27	11.17	12.94	2678.15	158.49	141	330.73	67.18	281.66	350.09	343.29	82.02
WBGene00220294	537.88	405.84	434.31	1786.3	4927.33	4676.2	21.36	0	5361.46	8347.23	7954.51	4455.1
WBGene00220302	0	0.77	0	0.72	0	0.55	0.29	0	0	0	0	479.59
WBGene00220303	6.05	0	4.63	12.62	10.37	15.98	10.54	0	8.04	11.05	1.32	9.57
WBGene00220306	4.04	2.82	3.51	16.86	49.86	49.22	262.83	295.71	53.77	54.97	57.75	10.4
WBGene00220308	34.04	23.84	27.62	20.6	35.54	54.78	8.48	231.62	102.32	89.26	111.11	44.49
WBGene00220309	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220310	20.69	20.83	16.09	6	28.84	17.1	46.86	19.28	8.6	7.09	9.85	67.54
WBGene00220316	0	0	0	0	1.91	0	0	33.21	0	0	0	0
WBGene00220317	0.82	0.67	1.17	14.02	0	0.96	9.66	10.12	11.92	18.87	14.78	0
WBGene00220320	10.84	10.19	11.28	20.71	34.64	30.98	19.17	287.04	10.94	10.25	10.78	2.96
WBGene00220321	11.5	16.03	12.38	4.58	6.16	4.43	11.86	160.64	6.69	13.13	8.6	0
WBGene00220328	0	0.88	0	35.94	1.21	1.25	0.08	5.28	2.35	3.24	0.39	0.56
WBGene00220335	14.39	12.63	16.36	21.57	8.23	7.93	4.47	87.16	4.39	4.93	5.87	2.37
WBGene00220337	12.55	4.67	9.01	0.73	0	2.21	134.7	37.42	15.02	18.35	25.95	0
WBGene00220341	8.42	14.35	14.11	19.54	28	25.98	13.52	0	4.2	4.81	5.73	17.5
WBGene00220346	8.15	10.09	7.95	709.96	16.21	17.51	0.15	320.51	0.43	1.79	0.35	24.23
WBGene00220348	10.36	9.17	6.37	1.72	7.62	7.83	4.07	0	0	0	3.22	18.73
WBGene00220352	143.09	151.9	141.77	41.49	35.17	40.93	57.76	0	82.89	61.94	61	59.58
WBGene00220355	21.47	29.13	35.72	29.05	63.12	77.47	5.86	0	6.8	5.6	20.02	0
WBGene00220356	3.75	3.87	5.98	48.93	1.07	1.1	1.15	0	0.83	1.14	0	0
WBGene00220358	24.57	24.13	27.24	147.16	24.15	24.55	1034.48	49.12	471.99	474.68	508.49	115.66
WBGene00220359	6.12	4.55	5.86	7.1	12.6	20.5	52.21	31.93	8.14	4.47	11.32	12.59
WBGene00220360	3.05	2.52	3.77	0.15	0.87	0.9	0.06	24.63	0	0	0	15.29
WBGene00220368	28.79	11.89	25.26	8.35	19.2	11.27	0.37	0	4.25	0	0	0
WBGene00220376	573.13	392.23	453.51	2215.75	1454.05	1340.04	1750.59	2.58	3255.87	2523.18	2607.49	5053.82
WBGene00220380	0.95	0.59	0.68	2.75	21.13	9.18	2.82	162.38	0.63	0	1.03	2.25
WBGene00220387	362.72	437.58	443.9	2216.16	479.28	347.15	11666.84	17203.05	1350.69	1458.97	1407.75	488.53
WBGene00220389	11.27	13.97	11.02	19.04	9.25	5.18	1.46	40.17	2.61	1.79	1.6	6.98
WBGene00220390	0	0.18	0.14	28.04	1.5	0.9	21.9	121.53	2.71	3.46	3.17	0.92
WBGene00220391	32.4	38.93	50.28	1.71	124.62	112.04	6.98	281.68	18.27	11.66	11.75	1.55
WBGene00220396	1.27	2.02	3.47	0.11	9.95	4.63	0.91	118.88	0	0	0	0
WBGene00220398	6.7	10.38	10.83	297.92	11.5	2.95	1.73	324.73	2.23	0	0	3.98
WBGene00220406	0	0	0	29.59	0	0.51	0	4.27	0	0	0	0
WBGene00220407	0	0	0.33	4.37	8.23	5.44	5.19	20.43	0	0	0	0
WBGene00220409	2.44	1.51	2.05	6.73	4.19	9.15	1.26	22.76	19.49	24.56	18.61	7.73
WBGene00220411	92.61	121.71	137.45	7.6	40.11	12.37	6.22	836.56	1.24	1.71	4.07	0
WBGene00220416	0.7	1.72	0.33	2.42	4.77	0.61	122.56	0	7.39	6.35	6.81	3.3
WBGene00220418	0	0	0	0	12.76	2.18	0.57	0	0	0	0	0
WBGene00220421	0	0	0	0	2.88	1.48	0	12.52	0	0	0	0
WBGene00220422	63.79	50.87	47.16	1.83	132.17	155.28	0.43	207.1	1.68	0	0	10.99
WBGene00220424	104.75	148.48	176.86	34.99	54.62	56.12	93	0	30.08	44.41	38.29	68.95
WBGene00220425	611.01	278.26	256.13	7622.64	735.37	855.82	10.03	0	812.36	578.31	575.95	3472.63
WBGene00220433	1.63	2.75	1.98	8.5	19.8	15.91	12.08	121.32	2.16	2.7	1.61	6.09
WBGene00220434	134.58	172.6	159.32	357.39	226.78	270.46	4.87	0	442.6	366.76	436.7	190.53
WBGene00220438	228.21	47.13	194.38	92.17	93.2	125.68	2.8	0	77.66	54.62	26.6	148.31
WBGene00220439	187.44	22.48	28.36	432.73	288.32	350.59	7.76	0	548.26	61.88	39.47	851.49
WBGene00220441	0	0	0	0	0	0	1.23	0	0	0	0	0
WBGene00220443	124	128.09	131.84	27.54	225.33	235.88	49.52	1.29	44.01	47.35	47.71	142.6
WBGene00220444	9.79	10.62	14.06	24.14	29.4	45.31	75.79	18.25	83.01	98.44	70.6	0
WBGene00220450	11.53	7.14	7.73	8.69	0	3.05	20.09	0	4.6	4.21	10.04	1.82
WBGene00220454	32.16	16.6	25.65	4.66	18.39	16.53	60.84	0	64.14	83.26	81.65	0
WBGene00220456	0	0	0	10.15	0	5.14	2.01	108.67	0	0	0	0
WBGene00220457	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220458	0	0	1.44	1.74	0	0	0	0	0	0	1.63	47.55
WBGene00220460	0	0	0	0	1.16	1.19	0	35.19	0	0	0	0
WBGene00220465	22.74	40.58	41.8	4.75	21.85	20.04	1.88	0	4.84	0	0.99	2.88
WBGene00220466	0	2.01	1.3	2.83	10.22	5.25	0.12	391.69	0	0.99	1.18	1.71
WBGene00220469	10.38	12.87	11.11	49.6	28.29	20.45	100.71	4.55	25.99	23.44	12.63	3.87
WBGene00220477	0	0.95	0.73	11.5	1.31	2.69	37.08	11.37	7.1	0	6.64	2.41
WBGene00220480	0	0.46	0.54	142.54	0	2.31	0.34	83.76	0	0	0	1.78
WBGene00220481	0.5	0.62	0.96	65.86	1.72	1.33	116.61	59.92	28.73	33.06	26.79	1.59
WBGene00220483	1.26	3.13	1.61	17.33	2.89	5.19	43.32	6.27	21.82	10.77	14.65	9.32
WBGene00220487	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220489	15.78	17.78	14.88	59.64	16.41	7.59	8.33	0	1.91	3.5	3.12	2782.63
WBGene00220491	3.58	1.48	2.29	36.72	12.81	10	54.86	26.71	24.22	20.2	24.7	4.25
WBGene00220492	71.25	92.93	88.24	2.9	66.46	65.54	0.14	0	0	0	0	1582.22
WBGene00220494	88.01	85.62	93.76	88.73	101.47	96.78	90.06	251.14	66.73	71.34	67.53	56.78
WBGene00220495	0	0	0	8.42	8.3	4.26	9.98	0	6.43	0	2.63	0
WBGene00220496	8.33	3.1	9.17	6.28	21.44	13.22	15.67	0	3.32	3.05	5.44	7.91
WBGene00220498	0.57	1.41	1.36	9.92	0.98	4.02	16.6	0	3.03	2.08	3.1	2.71
WBGene00220499	683.44	664.93	513.2	208.05	435.22	438.62	104.77	405.7	130.55	113.71	114.24	378.41
WBGene00220500	1.53	0	0	1.77	2.62	0	0.35	11.37	2.03	0	0	0
WBGene00220502	4.48	2.78	5.9	0.65	48.05	48.87	2.31	137.77	0.74	1.02	0	0
WBGene00220503	0.78	0	0	35.14	7.99	4.11	272.5	23.15	3.1	7.1	7.61	0
WBGene00220504	2.32	2.35	2.42	2.69	5.07	2.23	56.36	55.03	1.96	1.54	2.07	0
WBGene00220507	0.42	0.51	0.05	110.35	1.96	2.01	0.12	221.22	0.55	0.38	0.56	1.31
WBGene00220510	0	0	0	16.19	0	0.65	0	21.9	0	0	0	0
WBGene00220511	5.52	7.82	12.08	1.37	41.96	40.33	393.54	135.25	79.73	87.97	87.57	32.46
WBGene00220514	3.98	4.94	5.93	0.26	20.5	19.89	0.3	0	0	0	0	0.7
WBGene00220515	1.21	0.37	2.89	21.37	11.4	7.98	121.89	303.84	18.47	21.53	22.34	2.39
WBGene00220516	7.88	4.56	3.02	5148.18	9.02	5.56	0.72	7.83	1.4	0	1.72	78.17
WBGene00220518	0	0	1.53	5.57	0	0	1.47	0	4.25	0	3.48	0
WBGene00220519	4.68	12.75	11.64	9.77	22.46	26.38	5.79	0	3.73	3.42	2.04	7.4
WBGene00220522	2.4	4.16	4.13	4.59	8.23	10.78	1.21	0	0.32	0.44	1.04	5.31
WBGene00220524	0	0	0	32.86	0	0	0	0	0	0	0	0
WBGene00220525	31.92	33.76	35.23	48	41.16	41.75	29.14	60.61	15.14	15.24	15.49	17.7
WBGene00220526	8.59	12.29	7.59	1.53	3.4	5.83	23.8	64.04	11.43	8.46	7.91	23.01
WBGene00220527	11.32	12.02	10.83	63.29	30.5	17.81	288.24	108.43	52.66	70.91	57.17	17.91
WBGene00220528	8.26	5.12	12.85	10.18	7.09	20.02	13.26	15.4	5.49	5.66	11.24	6.54
WBGene00220529	0	1.09	0.28	3.24	0.5	1.3	0.07	21.93	0	0	0.32	0.93
WBGene00220530	7.93	3.69	5.46	50.03	18.71	13.11	22.62	229.08	219.51	233.78	239.52	12.55
WBGene00220531	32.38	35.36	35.46	95.5	89.44	79.8	73.25	0	37.22	48.15	48.37	46.03
WBGene00220532	24.28	34.16	35.96	7.63	26.9	22.74	9.98	0	1.68	1.85	1.1	1.6
WBGene00220533	0	0	0	9.78	0	0	0	10.05	0	1.23	0	0
WBGene00220536	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220537	0.44	0.54	0.21	37.39	0	1.92	3.6	0	2.32	0	0.95	2.07
WBGene00220538	0.53	0.66	0.76	4.94	0.91	0.47	2.68	0	1.42	1.95	1.74	0
WBGene00220539	30.73	43.26	27.41	12.15	14.37	14.77	17.29	0	1.86	7.66	4.56	22.1
WBGene00220541	10.62	4.39	7.63	12.84	28.85	31.99	41.21	184.74	9.42	14.56	9.63	18.21
WBGene00220542	193.11	158.43	214.81	13.62	71.61	103.48	20.94	0	34.69	19.08	25.55	189.94
WBGene00220543	6.61	8.19	2.11	1.28	3.78	5.83	2.02	197.06	8.79	8.05	4.8	3.49
WBGene00220544	21.31	23.35	30.99	123.58	19.68	13	1.5	24.43	2.18	1.5	3.57	2.59
WBGene00220546	0	0	0	77.23	0	2.5	0	63.34	0	0	0	0
WBGene00220547	2.4	1.49	3.16	2.44	6.18	4.24	2.76	125.4	3.2	6.59	4.58	5.71
WBGene00220549	0.64	1	0.77	8.59	4.97	4.54	22.11	85.17	4.28	4.12	3.33	2.55
