# Differential expression analysis for study ERP0009481 contrast  across:sex. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Adult female vs Adult male: Adult male - low replicates (1)
	!Adult female vs Adult male
WBGene00220263	1.25
WBGene00220265	2.69
WBGene00220274	-4.90
WBGene00220277	6.80
WBGene00220280	-1.27
WBGene00220281	-8.18
WBGene00220288	-1.71
WBGene00220289	-7.69
WBGene00220294	-1.84
WBGene00220306	-2.17
WBGene00220317	-3.80
WBGene00220320	-0.82
WBGene00220321	1.64
WBGene00220328	-7.34
WBGene00220337	3.73
WBGene00220346	-6.26
WBGene00220352	1.93
WBGene00220356	-3.30
WBGene00220358	-2.41
WBGene00220360	4.54
WBGene00220376	-2.10
WBGene00220387	-2.30
WBGene00220390	-7.88
WBGene00220391	4.69
WBGene00220396	4.58
WBGene00220398	-4.88
WBGene00220406	-8.26
WBGene00220411	4.06
WBGene00220422	5.01
WBGene00220424	2.15
WBGene00220425	-4.17
WBGene00220433	-1.92
WBGene00220434	-1.09
WBGene00220443	2.34
WBGene00220454	2.55
WBGene00220465	2.99
WBGene00220469	-2.01
WBGene00220477	-4.24
WBGene00220480	-8.48
WBGene00220481	-6.34
WBGene00220483	-3.08
WBGene00220489	-1.80
WBGene00220491	-3.79
WBGene00220492	4.97
WBGene00220498	-3.03
WBGene00220499	1.71
WBGene00220502	2.93
WBGene00220503	-7.12
WBGene00220507	-8.70
WBGene00220510	-7.03
WBGene00220511	2.82
WBGene00220514	4.39
WBGene00220515	-3.46
WBGene00220516	-9.99
WBGene00220526	2.72
WBGene00220527	-2.38
WBGene00220530	-3.02
WBGene00220531	-1.36
WBGene00220532	2.16
WBGene00220537	-6.59
WBGene00220542	3.92
WBGene00220544	-2.17
WBGene00220546	-7.34
WBGene00220549	-3.34
WBGene00220552	-1.30
WBGene00220554	-7.95
WBGene00220555	-3.54
WBGene00220556	1.88
WBGene00220563	-6.59
WBGene00220566	-5.99
WBGene00220568	-2.55
WBGene00220573	-1.41
WBGene00220576	-2.39
WBGene00220579	3.73
WBGene00220581	-3.01
WBGene00220582	-1.20
WBGene00220584	3.92
WBGene00220585	-2.14
WBGene00220588	1.62
WBGene00220589	-1.66
WBGene00220590	2.84
WBGene00220594	-3.01
WBGene00220598	4.29
WBGene00220599	1.37
WBGene00220601	-13.16
WBGene00220610	-0.84
WBGene00220615	-2.43
WBGene00220617	-11.10
WBGene00220618	-10.02
