# Differential expression analysis for study ERP0009481 contrast  across:biosourceprovider. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !L3 vs L3 (GA sample): L3 (GA sample) - low replicates (1). L3 - low replicates (1)
	!L3 vs L3 (GA sample)
WBGene00221507	-11.26
WBGene00221508	-10.04
WBGene00221509	-9.78
WBGene00221523	7.20
WBGene00221529	-6.55
WBGene00221533	5.76
WBGene00221543	6.07
WBGene00221552	-5.84
WBGene00221554	-5.01
WBGene00221555	-8.26
WBGene00221571	-2.96
WBGene00221572	-4.94
WBGene00221585	5.04
WBGene00221586	-10.46
WBGene00221595	-3.69
WBGene00221600	2.52
WBGene00221615	-9.92
WBGene00221623	6.12
WBGene00221624	-7.87
WBGene00221627	-8.37
WBGene00221628	-6.25
WBGene00221640	-9.47
WBGene00221641	-7.68
WBGene00221645	-7.33
WBGene00221648	-8.46
WBGene00221649	3.06
WBGene00221652	-10.78
WBGene00221654	-12.36
WBGene00221656	-11.26
WBGene00221657	-3.39
WBGene00221658	-6.54
WBGene00221659	-10.46
WBGene00221666	-8.37
WBGene00221677	-3.21
WBGene00221684	4.81
WBGene00221688	-2.74
WBGene00221698	5.93
WBGene00221702	-2.01
WBGene00221707	-8.01
WBGene00221708	-10.18
WBGene00221713	-5.29
WBGene00221715	-4.32
WBGene00221722	-6.60
WBGene00221723	12.02
WBGene00221728	-3.50
WBGene00221731	-6.92
WBGene00221733	-6.23
WBGene00221734	-5.01
WBGene00221741	-3.06
WBGene00221746	-3.75
WBGene00221749	5.81
WBGene00221753	9.58
WBGene00221756	-11.46
WBGene00221757	-4.74
WBGene00221768	-4.85
WBGene00221769	8.82
WBGene00221770	8.90
WBGene00221780	-6.98
WBGene00221790	-3.89
WBGene00221792	-9.46
WBGene00221793	-7.38
WBGene00221795	-5.01
WBGene00221798	-7.20
WBGene00221802	2.71
WBGene00221805	-2.72
WBGene00221809	-7.97
WBGene00221812	-5.43
WBGene00221813	-8.71
WBGene00221817	-11.85
WBGene00221820	-1.47
WBGene00221821	-5.12
WBGene00221822	-11.04
WBGene00221823	-9.82
WBGene00221824	-1.34
WBGene00221830	-8.39
WBGene00221835	-9.66
WBGene00221838	-11.63
WBGene00221840	-1.82
WBGene00221841	-1.08
WBGene00221842	-9.78
WBGene00221848	-1.15
WBGene00221849	-3.21
WBGene00221851	1.18
WBGene00221853	-3.35
WBGene00221854	-0.97
WBGene00221857	-8.18
WBGene00221859	-12.48
WBGene00221860	-3.26
WBGene00221890	4.77
WBGene00221908	-11.63
WBGene00221927	5.20
WBGene00221932	-5.14
WBGene00221934	3.11
WBGene00221935	6.33
WBGene00221938	8.97
WBGene00221940	3.38
WBGene00221942	-0.85
WBGene00221945	-2.18
WBGene00221946	-2.95
WBGene00221947	1.31
WBGene00221948	6.08
WBGene00221951	1.38
WBGene00221953	7.65
WBGene00221955	-1.01
WBGene00221956	3.20
WBGene00221957	-1.87
WBGene00221958	4.95
WBGene00221959	8.41
WBGene00221960	7.68
WBGene00221961	2.63
WBGene00221963	1.01
WBGene00221964	-1.15
WBGene00221966	2.73
WBGene00221967	-2.20
WBGene00221968	-3.69
WBGene00221970	-12.33
WBGene00221971	-2.15
WBGene00221972	3.03
WBGene00221973	-2.93
WBGene00221975	10.53
WBGene00221977	9.37
WBGene00221979	6.14
WBGene00221981	5.57
WBGene00221985	1.71
WBGene00221986	0.80
WBGene00221988	1.16
WBGene00221990	-2.12
WBGene00221991	1.57
WBGene00221992	-1.37
WBGene00221993	5.64
WBGene00221994	3.95
WBGene00221995	3.09
WBGene00221996	0.75
WBGene00221997	1.04
WBGene00221998	-1.86
WBGene00221999	-6.23
WBGene00222000	1.97
WBGene00222002	4.12
WBGene00222004	-1.41
WBGene00222005	6.37
WBGene00222006	6.62
WBGene00222007	4.30
WBGene00222008	2.54
WBGene00222009	5.60
WBGene00222010	5.97
WBGene00222011	6.85
WBGene00222012	-3.57
WBGene00222013	10.70
WBGene00222015	-2.26
WBGene00222016	-0.99
WBGene00222018	1.16
WBGene00222019	-2.29
WBGene00222021	2.26
WBGene00222022	1.91
WBGene00222023	3.30
WBGene00222024	6.49
WBGene00222026	7.13
WBGene00222027	5.23
WBGene00222029	3.69
WBGene00222030	3.41
WBGene00222031	3.76
WBGene00222032	7.00
WBGene00222034	-2.79
WBGene00222035	1.19
WBGene00222037	-1.97
WBGene00222038	-1.02
WBGene00222039	-0.58
WBGene00222040	1.86
WBGene00222042	5.94
WBGene00222043	-0.58
WBGene00222044	2.95
WBGene00222045	1.02
WBGene00222046	-5.88
WBGene00222047	-4.22
WBGene00222048	-6.05
WBGene00222049	-8.99
WBGene00222052	-3.43
WBGene00222053	7.09
WBGene00222054	-0.94
WBGene00222058	8.73
WBGene00222060	-2.36
WBGene00222063	-2.34
WBGene00222064	3.52
WBGene00222065	4.06
WBGene00222066	6.02
WBGene00222067	6.55
WBGene00222072	-2.25
WBGene00222073	3.78
WBGene00222074	-2.10
WBGene00222076	-1.72
WBGene00222077	2.15
WBGene00222078	0.84
WBGene00222080	-2.58
WBGene00222081	1.11
WBGene00222082	-2.08
WBGene00222083	-5.74
WBGene00222084	5.58
WBGene00222086	5.84
WBGene00222093	-3.57
WBGene00222094	2.89
WBGene00222096	-1.79
WBGene00222097	6.36
WBGene00222099	9.18
WBGene00222100	-2.82
WBGene00222101	-2.38
WBGene00222102	-2.30
WBGene00222103	2.23
WBGene00222104	4.07
WBGene00222105	6.45
WBGene00222106	-1.33
WBGene00222109	-0.65
WBGene00222110	4.15
WBGene00222111	4.81
WBGene00222112	5.32
WBGene00222113	3.45
WBGene00222114	3.04
WBGene00222117	6.41
WBGene00222118	-5.15
WBGene00222119	1.29
WBGene00222121	6.58
WBGene00222124	-2.63
WBGene00222125	-0.82
WBGene00222127	-1.18
WBGene00222129	4.86
WBGene00222130	-1.22
WBGene00222131	1.18
WBGene00222132	3.50
WBGene00222134	1.16
WBGene00222135	1.99
WBGene00222136	-1.33
WBGene00222137	1.38
WBGene00222138	0.90
WBGene00222140	0.63
WBGene00222141	3.75
WBGene00222142	-1.11
WBGene00222143	4.87
WBGene00222145	-4.95
WBGene00222146	7.85
WBGene00222147	-1.03
WBGene00222148	-1.05
WBGene00222149	3.92
WBGene00222150	-1.77
WBGene00222151	0.48
WBGene00222152	1.53
WBGene00222153	10.80
WBGene00222154	1.47
WBGene00222159	-1.16
WBGene00222160	-4.89
WBGene00222163	-4.25
WBGene00222164	7.91
WBGene00222165	-1.60
WBGene00222166	-1.69
WBGene00222168	4.76
WBGene00222171	3.22
WBGene00222173	-2.14
WBGene00222174	-4.37
WBGene00222175	1.17
WBGene00222176	-0.64
WBGene00222180	-1.31
WBGene00222181	-2.87
WBGene00222182	-2.16
WBGene00222183	-3.65
WBGene00222184	8.14
WBGene00222185	2.41
WBGene00222187	2.46
WBGene00222188	-2.01
WBGene00222191	9.90
WBGene00222192	0.77
WBGene00222193	-2.76
WBGene00222195	1.83
