# Differential expression analysis for study ERP0009481 contrast  across:biosourceprovider. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !L3 vs L3 (GA sample): L3 (GA sample) - low replicates (1). L3 - low replicates (1)
	!L3 vs L3 (GA sample)
WBGene00222984	3.27
WBGene00222986	-5.84
WBGene00222987	8.99
WBGene00222989	8.58
WBGene00222990	8.91
WBGene00222991	1.44
WBGene00222992	3.62
WBGene00222993	4.37
WBGene00222994	2.31
WBGene00222998	6.67
WBGene00223000	0.79
WBGene00223001	-4.86
WBGene00223002	-3.83
WBGene00223003	-4.47
WBGene00223005	-2.51
WBGene00223006	-2.37
WBGene00223007	3.44
WBGene00223008	-5.39
WBGene00223009	8.68
WBGene00223010	2.10
WBGene00223015	8.73
WBGene00223017	-2.80
WBGene00223018	-5.01
WBGene00223021	0.83
WBGene00223024	-1.02
WBGene00223025	1.76
WBGene00223026	8.25
WBGene00223028	6.80
WBGene00223029	-0.70
WBGene00223031	10.25
WBGene00223032	-2.27
WBGene00223033	-0.92
WBGene00223034	7.44
WBGene00223035	-1.08
WBGene00223036	-4.24
WBGene00223037	-1.10
WBGene00223038	-3.55
WBGene00223039	8.23
WBGene00223040	5.14
WBGene00223041	-3.92
WBGene00223043	1.96
WBGene00223044	4.39
WBGene00223046	-4.28
WBGene00223048	-6.52
WBGene00223049	-2.26
WBGene00223053	-7.60
WBGene00223055	0.73
WBGene00223056	-3.72
WBGene00223057	-0.88
WBGene00223058	2.75
WBGene00223059	0.70
WBGene00223060	3.84
WBGene00223061	0.82
WBGene00223062	-0.99
WBGene00223063	4.55
WBGene00223065	-2.81
WBGene00223066	-3.93
WBGene00223067	3.02
WBGene00223069	7.08
WBGene00223070	-1.41
WBGene00223071	-0.64
WBGene00223072	2.92
WBGene00223073	0.77
WBGene00223074	-1.16
WBGene00223075	3.95
WBGene00223078	-1.57
WBGene00223079	2.90
WBGene00223080	-2.29
WBGene00223081	-1.44
WBGene00223082	-6.99
WBGene00223083	7.57
WBGene00223084	5.89
WBGene00223085	-2.40
WBGene00223086	2.91
WBGene00223087	7.47
WBGene00223088	6.71
WBGene00223090	6.53
WBGene00223092	-2.67
WBGene00223094	-1.86
WBGene00223096	-5.01
WBGene00223097	0.74
WBGene00223098	1.29
WBGene00223100	-5.08
WBGene00223102	-4.21
WBGene00223105	6.22
WBGene00223106	-7.46
WBGene00223108	-1.85
WBGene00223109	8.67
WBGene00223110	0.76
WBGene00223111	4.31
WBGene00223112	3.78
WBGene00223113	5.23
WBGene00223114	4.62
WBGene00223115	5.34
WBGene00223116	10.10
WBGene00223117	7.10
WBGene00223118	-3.36
WBGene00223120	5.68
WBGene00223121	9.29
WBGene00223122	1.81
WBGene00223123	7.37
WBGene00223124	-3.08
WBGene00223127	1.37
WBGene00223128	2.53
WBGene00223129	-6.32
WBGene00223130	-4.70
WBGene00223132	10.72
WBGene00223133	8.03
WBGene00223134	6.17
WBGene00223135	3.19
WBGene00223136	-5.87
WBGene00223137	-1.86
WBGene00223138	9.12
WBGene00223139	6.08
WBGene00223140	2.99
WBGene00223141	-2.71
WBGene00223142	1.34
WBGene00223143	6.75
WBGene00223147	6.03
WBGene00223150	-2.80
WBGene00223152	1.00
WBGene00223153	7.29
WBGene00223155	3.43
WBGene00223157	2.15
WBGene00223160	-1.46
WBGene00223161	1.57
WBGene00223162	-3.60
WBGene00223164	-2.39
WBGene00223165	10.50
WBGene00223166	-3.70
WBGene00223169	-1.62
WBGene00223172	2.89
WBGene00223173	-2.50
WBGene00223175	2.83
WBGene00223176	1.10
WBGene00223177	8.00
WBGene00223179	6.42
WBGene00223180	-4.01
WBGene00223182	6.36
WBGene00223185	-2.06
WBGene00223186	-4.33
WBGene00223188	3.90
WBGene00223189	3.31
WBGene00223190	-1.95
WBGene00223192	-4.85
WBGene00223193	3.92
WBGene00223194	-6.60
WBGene00223196	-1.82
WBGene00223197	-3.74
WBGene00223204	1.04
WBGene00223206	-3.05
WBGene00223207	8.00
WBGene00223208	6.60
WBGene00223211	-3.63
WBGene00223212	8.80
WBGene00223214	1.75
WBGene00223215	4.60
WBGene00223216	-3.10
WBGene00223218	6.40
WBGene00223219	-5.66
WBGene00223221	8.87
WBGene00223224	-5.70
WBGene00223225	2.82
WBGene00223226	8.33
WBGene00223229	-3.29
WBGene00223230	6.68
WBGene00223231	6.38
WBGene00223232	0.67
WBGene00223233	1.24
WBGene00223237	1.59
WBGene00223238	-3.44
WBGene00223239	-4.54
WBGene00223240	3.64
WBGene00223242	-0.87
WBGene00223246	5.96
WBGene00223247	4.94
WBGene00223248	9.19
WBGene00223249	-4.09
WBGene00223251	1.69
WBGene00223252	-2.78
WBGene00223253	7.22
WBGene00223255	1.45
WBGene00223257	-3.36
WBGene00223258	1.56
WBGene00223259	2.28
WBGene00223261	2.73
WBGene00223262	-4.08
WBGene00223263	1.22
WBGene00223264	-1.14
WBGene00223265	1.98
WBGene00223266	5.91
WBGene00223267	1.62
WBGene00223268	-3.45
WBGene00223269	1.14
WBGene00223271	1.31
WBGene00223272	3.38
WBGene00223273	2.13
WBGene00223274	-1.20
WBGene00223276	4.13
WBGene00223278	-1.58
WBGene00223279	3.39
WBGene00223280	1.26
WBGene00223282	-1.14
WBGene00223283	7.78
WBGene00223285	-2.13
WBGene00223286	-4.01
WBGene00223287	8.34
WBGene00223288	-2.77
WBGene00223289	-1.75
WBGene00223290	7.26
WBGene00223291	5.26
WBGene00223292	2.49
WBGene00223293	1.05
WBGene00223294	3.94
WBGene00223297	-0.85
WBGene00223298	5.77
WBGene00223299	4.84
WBGene00223300	1.85
WBGene00223302	3.53
WBGene00223303	1.44
WBGene00223305	8.39
WBGene00223308	0.67
WBGene00223309	-1.26
WBGene00223310	-2.03
WBGene00223311	1.35
WBGene00223312	1.93
WBGene00223314	1.41
WBGene00223318	-0.67
WBGene00223319	2.22
WBGene00223321	1.17
WBGene00223323	8.76
WBGene00223325	4.56
WBGene00223326	7.67
WBGene00223328	4.00
WBGene00223329	6.25
WBGene00223330	2.49
WBGene00223333	-1.21
WBGene00223334	-1.39
WBGene00223338	-0.66
WBGene00223339	2.01
WBGene00223341	-2.06
WBGene00223343	-2.97
WBGene00223350	1.00
WBGene00223351	2.78
WBGene00223355	1.90
WBGene00223356	3.38
WBGene00223357	5.91
WBGene00223358	-1.85
WBGene00223359	6.66
WBGene00223361	-1.55
WBGene00223363	3.46
WBGene00223364	-2.12
WBGene00223365	-1.96
WBGene00223366	-1.83
WBGene00223367	-7.88
WBGene00223368	1.56
WBGene00223369	6.60
WBGene00223372	5.75
WBGene00223374	1.04
WBGene00223375	7.73
WBGene00223379	-1.31
WBGene00223380	-3.36
WBGene00223381	3.23
WBGene00223382	-3.28
WBGene00223384	-3.86
WBGene00223385	5.66
WBGene00223387	6.09
WBGene00223388	-1.46
WBGene00223389	6.72
WBGene00223391	-2.33
WBGene00223392	-1.66
WBGene00223393	-0.87
WBGene00223394	0.70
WBGene00223395	-3.02
WBGene00223396	6.99
WBGene00223398	8.89
WBGene00223399	-1.84
WBGene00223400	6.86
WBGene00223402	-5.43
WBGene00223403	-1.40
WBGene00223404	1.07
WBGene00223405	2.96
WBGene00223407	5.91
WBGene00223408	-1.91
WBGene00223409	-2.23
WBGene00223410	-3.40
WBGene00223411	10.30
WBGene00223412	5.33
WBGene00223413	-4.15
WBGene00223415	8.22
WBGene00223416	8.03
WBGene00223417	-3.81
WBGene00223418	5.03
WBGene00223420	-2.61
WBGene00223423	3.26
WBGene00223424	1.91
WBGene00223426	-2.12
WBGene00223427	-6.95
WBGene00223429	2.36
WBGene00223430	0.73
WBGene00223431	7.89
WBGene00223433	4.10
WBGene00223434	8.64
WBGene00223436	-3.24
WBGene00223437	-4.58
WBGene00223438	-0.89
WBGene00223439	-1.56
WBGene00223441	2.38
WBGene00223442	-2.75
WBGene00223443	3.46
WBGene00223446	5.71
WBGene00223447	2.98
WBGene00223449	-1.86
WBGene00223451	3.71
WBGene00223452	3.80
WBGene00223453	5.25
WBGene00223456	4.43
WBGene00223459	3.63
WBGene00223460	-4.12
WBGene00223462	-1.12
WBGene00223464	4.68
WBGene00223465	-4.79
WBGene00223466	1.76
WBGene00223467	8.83
WBGene00223468	0.87
WBGene00223469	1.36
WBGene00223470	1.67
WBGene00223473	4.04
WBGene00223474	1.90
WBGene00223478	-2.05
WBGene00223479	9.07
WBGene00223480	-6.60
WBGene00223481	-1.21
WBGene00223482	-2.57
WBGene00223484	4.33
WBGene00223485	-0.99
WBGene00223486	3.96
WBGene00223487	5.14
WBGene00223490	-6.70
WBGene00223491	-1.36
WBGene00223492	6.69
WBGene00223494	0.86
WBGene00223496	2.69
WBGene00223498	1.30
WBGene00223499	-0.97
WBGene00223501	4.18
WBGene00223502	2.29
WBGene00223503	-0.67
WBGene00223505	8.68
WBGene00223506	6.40
WBGene00223509	-5.05
WBGene00223511	-1.25
WBGene00223513	-3.87
WBGene00223514	-4.38
WBGene00223516	1.66
WBGene00223517	8.08
WBGene00223519	-2.98
WBGene00223520	-3.59
WBGene00223524	-3.43
WBGene00223529	-3.37
WBGene00223530	2.74
WBGene00223531	3.99
WBGene00223532	-1.48
WBGene00223533	-2.95
WBGene00223534	-2.21
WBGene00223535	1.79
WBGene00223537	-0.89
WBGene00223539	7.41
WBGene00223540	9.57
WBGene00223541	-5.60
WBGene00223542	6.30
WBGene00223543	1.20
WBGene00223544	-4.13
WBGene00223546	-1.67
WBGene00223548	8.70
WBGene00223549	6.18
WBGene00223550	-2.52
WBGene00223552	2.12
WBGene00223553	-4.01
WBGene00223554	-0.48
WBGene00223555	-2.19
WBGene00223556	7.09
WBGene00223557	5.02
WBGene00223558	-1.66
WBGene00223559	-2.71
WBGene00223560	5.26
WBGene00223562	4.48
WBGene00223564	9.10
WBGene00223565	6.29
WBGene00223566	-2.08
WBGene00223568	3.81
WBGene00223570	-0.76
WBGene00223571	-8.56
WBGene00223574	3.64
WBGene00223575	7.18
WBGene00223577	8.31
WBGene00223578	-3.36
WBGene00223580	1.71
WBGene00223581	5.86
WBGene00223582	-1.54
WBGene00223583	-3.83
WBGene00223585	3.44
WBGene00223588	-1.06
WBGene00223589	-2.58
WBGene00223591	1.37
WBGene00223592	2.37
WBGene00223593	2.42
WBGene00223594	3.02
WBGene00223595	7.81
WBGene00223596	6.20
WBGene00223597	-2.45
WBGene00223598	7.56
WBGene00223600	3.98
WBGene00223602	-7.01
WBGene00223603	2.58
WBGene00223605	-1.33
WBGene00223606	-1.07
WBGene00223607	-2.20
WBGene00223609	8.56
WBGene00223610	3.43
WBGene00223614	1.39
WBGene00223615	-4.19
WBGene00223616	-4.40
WBGene00223617	-1.72
WBGene00223619	-3.82
WBGene00223620	-1.58
WBGene00223621	-3.07
WBGene00223624	-9.26
WBGene00223626	1.37
WBGene00223627	3.75
WBGene00223628	-3.81
WBGene00223631	1.38
WBGene00223632	-2.42
WBGene00223634	2.87
WBGene00223635	-1.12
WBGene00223636	-4.76
WBGene00223638	-7.64
WBGene00223639	6.16
WBGene00223640	3.12
WBGene00223641	1.01
WBGene00223642	6.41
WBGene00223645	-2.01
WBGene00223646	2.93
WBGene00223649	1.18
WBGene00223652	2.49
WBGene00223653	7.09
WBGene00223654	3.04
WBGene00223655	-0.51
WBGene00223657	2.91
WBGene00223659	-4.04
WBGene00223662	8.03
WBGene00223663	5.16
WBGene00223664	-2.51
WBGene00223666	7.57
WBGene00223669	-2.06
WBGene00223673	2.55
WBGene00223674	-5.01
WBGene00223675	-1.28
WBGene00223677	4.49
WBGene00223680	3.44
WBGene00223681	3.24
WBGene00223682	7.68
WBGene00223684	4.31
WBGene00223686	4.99
WBGene00223687	8.91
WBGene00223690	6.62
WBGene00223691	-1.84
WBGene00223693	9.53
WBGene00223694	-5.64
WBGene00223695	-2.11
WBGene00223697	-0.97
WBGene00223698	-0.59
WBGene00223700	9.43
WBGene00223702	-2.21
WBGene00223705	-1.90
WBGene00223706	1.94
WBGene00223707	-0.87
WBGene00223708	2.09
WBGene00223710	1.81
WBGene00223711	-2.30
WBGene00223712	-3.03
WBGene00223716	-10.38
WBGene00223717	-2.67
WBGene00223718	4.04
WBGene00223719	1.07
WBGene00223721	-1.07
WBGene00223722	2.05
WBGene00223724	4.96
WBGene00223725	1.59
WBGene00223726	-12.16
WBGene00223727	1.84
WBGene00223731	-3.69
WBGene00223732	-5.08
WBGene00223733	8.19
WBGene00223735	-0.50
WBGene00223736	-2.58
WBGene00223741	-2.08
WBGene00223743	-2.61
WBGene00223744	7.12
WBGene00223745	7.64
WBGene00223746	2.99
WBGene00223749	-6.92
WBGene00223750	-2.87
WBGene00223751	4.07
WBGene00223752	6.97
WBGene00223753	1.35
WBGene00223754	-2.02
WBGene00223755	-5.32
WBGene00223756	9.11
WBGene00223757	-1.35
WBGene00223758	-3.72
WBGene00223759	-0.98
WBGene00223761	-2.24
WBGene00223762	-0.66
WBGene00223763	4.04
WBGene00223764	6.46
WBGene00223765	-0.73
WBGene00223766	7.60
WBGene00223767	2.37
WBGene00223768	2.39
WBGene00223769	3.78
WBGene00223770	7.55
WBGene00223771	5.64
WBGene00223772	1.38
WBGene00223773	-1.38
WBGene00223774	-2.21
WBGene00223775	-2.01
WBGene00223777	-1.16
WBGene00223778	-5.12
WBGene00223781	1.50
WBGene00223785	-0.63
WBGene00223788	3.55
WBGene00223789	8.32
WBGene00223790	-3.50
WBGene00223791	1.15
WBGene00223794	7.71
WBGene00223795	-3.14
WBGene00223796	3.89
WBGene00223797	1.61
WBGene00223799	-0.63
WBGene00223800	1.09
WBGene00223801	3.73
WBGene00223802	2.64
WBGene00223803	5.03
WBGene00223806	-3.59
WBGene00223807	3.02
WBGene00223809	-0.75
WBGene00223812	3.82
WBGene00223813	4.31
WBGene00223814	1.94
WBGene00223815	7.54
WBGene00223816	7.29
WBGene00223817	-1.16
WBGene00223818	4.63
WBGene00223821	0.92
WBGene00223822	4.55
WBGene00223823	0.87
WBGene00223825	6.53
WBGene00223827	4.76
WBGene00223829	-2.09
WBGene00223831	-1.61
WBGene00223833	1.03
WBGene00223834	5.14
WBGene00223835	4.87
WBGene00223836	9.23
WBGene00223838	-3.49
WBGene00223840	-1.26
WBGene00223842	1.83
WBGene00223843	1.75
WBGene00223844	7.35
WBGene00223845	-3.54
WBGene00223846	-3.39
WBGene00223847	-1.73
WBGene00223849	-3.77
WBGene00223850	4.99
WBGene00223851	4.99
WBGene00223852	1.54
WBGene00223853	7.60
WBGene00223855	1.33
WBGene00223856	5.81
WBGene00223857	-1.57
WBGene00223858	6.08
WBGene00223859	4.94
WBGene00223860	-7.55
WBGene00223861	-3.91
WBGene00223862	-1.11
WBGene00223865	-3.42
WBGene00223866	-8.30
WBGene00223868	2.59
WBGene00223870	-4.01
WBGene00223872	9.72
WBGene00223874	-4.37
WBGene00223875	0.78
WBGene00223876	4.17
WBGene00223877	-3.21
WBGene00223878	7.94
WBGene00223879	-3.22
WBGene00223880	-3.33
WBGene00223881	8.90
WBGene00223882	1.78
WBGene00223883	-2.02
WBGene00223884	5.04
WBGene00223885	-6.52
WBGene00223886	-1.31
WBGene00223887	-1.56
WBGene00223888	0.83
WBGene00223889	-2.85
WBGene00223891	8.56
WBGene00223893	6.39
WBGene00223895	1.33
WBGene00223897	-5.17
WBGene00223898	2.46
WBGene00223899	4.20
WBGene00223902	1.47
WBGene00223903	1.60
WBGene00223906	-1.22
WBGene00223910	3.80
WBGene00223911	-5.01
WBGene00223912	-1.78
WBGene00223913	8.86
WBGene00223914	-2.72
WBGene00223915	5.24
WBGene00223916	8.97
WBGene00223917	-5.41
WBGene00223918	-2.53
WBGene00223919	7.77
WBGene00223921	-0.79
WBGene00223922	-2.03
WBGene00223923	-0.56
WBGene00223925	4.85
WBGene00223926	-1.85
WBGene00223927	1.11
WBGene00223928	-2.12
WBGene00223931	-2.56
WBGene00223932	4.48
WBGene00223934	9.31
WBGene00223935	3.00
WBGene00223936	6.61
WBGene00223937	6.00
WBGene00223938	5.72
WBGene00223939	8.60
WBGene00223941	-2.05
WBGene00223942	1.01
WBGene00223943	4.15
WBGene00223944	7.30
WBGene00223945	-1.91
WBGene00223948	4.37
WBGene00223950	3.66
WBGene00223951	1.81
WBGene00223952	4.77
WBGene00223953	-1.74
WBGene00223954	-0.65
WBGene00223956	-1.93
WBGene00223957	2.56
WBGene00223959	6.03
WBGene00223962	0.92
WBGene00223963	-2.43
WBGene00223964	-1.90
WBGene00223965	1.94
WBGene00223966	7.06
WBGene00223967	0.81
WBGene00223968	3.90
WBGene00223969	-1.47
WBGene00223970	4.50
WBGene00223971	1.57
WBGene00223972	-1.65
WBGene00223973	7.12
WBGene00223975	-5.56
WBGene00223976	1.73
WBGene00223977	1.82
WBGene00223980	4.43
WBGene00223982	-1.25
WBGene00223983	-2.47
WBGene00223984	-2.27
WBGene00223985	2.44
WBGene00223986	-3.68
WBGene00223990	0.61
WBGene00223991	1.53
WBGene00223993	-4.37
WBGene00223995	-8.82
WBGene00223996	-4.57
WBGene00223997	2.77
WBGene00223998	-3.17
WBGene00223999	2.85
WBGene00224001	8.82
WBGene00224002	1.93
WBGene00224003	-4.38
WBGene00224006	-8.55
WBGene00224007	-4.34
WBGene00224008	6.25
WBGene00224009	3.05
WBGene00224012	5.37
WBGene00224013	5.31
WBGene00224015	9.25
WBGene00224016	-9.46
WBGene00224018	1.65
WBGene00224020	1.06
WBGene00224021	1.32
WBGene00224022	-2.21
WBGene00224023	-5.43
WBGene00224027	-2.59
WBGene00224029	1.33
WBGene00224032	9.41
WBGene00224033	-1.97
WBGene00224034	2.12
WBGene00224035	-3.59
WBGene00224036	-3.77
WBGene00224037	3.14
WBGene00224038	-2.46
WBGene00224040	-2.31
WBGene00224041	-1.61
WBGene00224042	3.93
WBGene00224044	9.45
WBGene00224045	-0.77
WBGene00224046	2.89
WBGene00224047	2.27
WBGene00224048	-2.40
WBGene00224050	-1.31
WBGene00224052	7.26
WBGene00224053	4.27
WBGene00224056	-3.04
WBGene00224059	2.17
WBGene00224061	-1.38
WBGene00224062	7.54
WBGene00224063	2.57
WBGene00224065	-1.89
WBGene00224066	0.83
WBGene00224067	-1.40
WBGene00224068	-3.32
WBGene00224070	-1.74
WBGene00224071	-1.40
WBGene00224072	7.17
WBGene00224074	-3.71
WBGene00224075	-2.96
WBGene00224078	0.44
WBGene00224079	-0.93
WBGene00224080	2.76
WBGene00224081	3.74
WBGene00224082	-5.07
WBGene00224083	5.05
WBGene00224084	1.79
WBGene00224089	-11.04
WBGene00224090	-3.60
WBGene00224092	5.07
WBGene00224095	3.65
WBGene00224096	1.30
WBGene00224097	0.91
WBGene00224098	2.00
WBGene00224100	-3.63
WBGene00224101	0.89
WBGene00224102	1.79
WBGene00224104	4.86
WBGene00224106	2.32
WBGene00224107	2.03
WBGene00224108	5.64
WBGene00224109	1.42
WBGene00224112	1.20
WBGene00224113	1.29
WBGene00224114	-10.52
WBGene00224115	2.35
WBGene00224116	-0.82
WBGene00224118	0.90
WBGene00224119	1.72
WBGene00224120	3.05
WBGene00224121	7.42
WBGene00224122	-0.70
WBGene00224124	-1.11
WBGene00224125	-0.76
WBGene00224126	-1.69
WBGene00224127	-3.58
WBGene00224128	-2.35
WBGene00224131	-1.71
WBGene00224134	-6.05
WBGene00224135	-3.75
WBGene00224137	4.20
WBGene00224141	-2.43
WBGene00224142	1.96
WBGene00224143	-4.29
WBGene00224145	-3.75
WBGene00224146	3.25
WBGene00224147	6.39
WBGene00224148	-4.54
WBGene00224151	7.72
WBGene00224152	-1.68
WBGene00224153	2.69
WBGene00224154	4.80
WBGene00224155	7.92
WBGene00224156	-1.89
WBGene00224158	8.49
WBGene00224159	1.94
WBGene00224160	1.33
WBGene00224162	-1.11
WBGene00224163	1.50
WBGene00224164	4.87
WBGene00224165	1.52
WBGene00224166	1.78
WBGene00224167	-2.30
WBGene00224169	6.72
WBGene00224171	6.51
WBGene00224172	-4.56
WBGene00224174	-1.60
WBGene00224175	-6.56
WBGene00224176	8.42
WBGene00224177	7.57
WBGene00224179	1.19
WBGene00224180	0.84
WBGene00224181	1.19
WBGene00224182	2.55
WBGene00224183	-3.63
WBGene00224185	1.08
WBGene00224186	8.09
WBGene00224187	-1.01
WBGene00224189	-2.03
WBGene00224191	7.75
WBGene00224192	-2.38
WBGene00224195	4.21
WBGene00224196	-0.70
WBGene00224198	-1.03
WBGene00224199	4.61
WBGene00224200	-1.49
WBGene00224201	-2.66
WBGene00224202	4.85
WBGene00224203	3.78
WBGene00224204	-3.75
WBGene00224207	5.35
WBGene00224208	2.53
WBGene00224209	2.63
WBGene00224212	5.81
WBGene00224213	4.63
WBGene00224214	9.03
WBGene00224216	-1.35
WBGene00224217	5.28
WBGene00224218	-9.71
WBGene00224219	5.22
WBGene00224220	5.83
WBGene00224221	0.87
WBGene00224223	7.58
WBGene00224224	1.58
WBGene00224225	1.99
WBGene00224226	5.57
WBGene00224228	-4.04
WBGene00224229	-0.86
WBGene00224230	3.71
WBGene00224232	-1.36
WBGene00224233	9.20
WBGene00224234	-4.33
WBGene00224238	-2.89
WBGene00224240	4.87
WBGene00224246	7.65
WBGene00224247	-13.46
WBGene00224248	7.30
WBGene00224249	4.25
WBGene00224250	-1.10
WBGene00224252	7.53
WBGene00224253	3.65
WBGene00224254	-8.45
WBGene00224255	3.99
WBGene00224256	1.06
WBGene00224257	1.82
WBGene00224258	8.07
WBGene00224262	7.24
WBGene00224264	7.50
WBGene00224267	3.51
WBGene00224269	2.85
WBGene00224270	6.46
WBGene00224271	-1.11
WBGene00224272	4.76
WBGene00224273	6.78
WBGene00224274	-0.88
WBGene00224277	0.73
WBGene00224278	-7.94
WBGene00224279	1.07
WBGene00224280	3.77
WBGene00224285	5.37
WBGene00224286	5.02
WBGene00224287	5.18
WBGene00224289	5.80
WBGene00224291	7.51
WBGene00224292	-8.57
WBGene00224293	2.78
WBGene00224294	3.27
WBGene00224295	2.02
WBGene00224296	1.87
WBGene00224297	-1.28
WBGene00224298	5.94
WBGene00224300	7.40
WBGene00224301	2.91
WBGene00224302	3.50
WBGene00224304	8.48
WBGene00224305	-11.10
WBGene00224307	2.64
WBGene00224308	1.88
WBGene00224310	2.18
WBGene00224311	7.62
WBGene00224312	5.16
WBGene00224314	6.92
WBGene00224317	4.41
WBGene00224319	-4.04
WBGene00224320	2.09
WBGene00224323	-5.31
WBGene00224324	-2.44
WBGene00224327	-3.43
WBGene00224328	1.76
WBGene00224329	-1.41
WBGene00224331	2.59
WBGene00224332	-8.04
WBGene00224333	-1.27
WBGene00224336	4.34
WBGene00224337	1.10
WBGene00224338	0.88
WBGene00224339	4.40
WBGene00224340	2.33
WBGene00224341	4.67
WBGene00224342	7.16
WBGene00224344	4.78
WBGene00224345	3.43
WBGene00224346	3.69
WBGene00224349	0.74
WBGene00224351	2.12
WBGene00224354	0.62
WBGene00224356	6.06
WBGene00224357	2.63
WBGene00224358	9.39
WBGene00224359	4.12
WBGene00224360	3.11
WBGene00224361	2.61
WBGene00224362	-2.26
WBGene00224363	5.86
WBGene00224365	2.73
WBGene00224366	1.57
WBGene00224368	-1.44
WBGene00224369	6.51
WBGene00224372	8.38
WBGene00224373	9.95
WBGene00224375	2.65
WBGene00224376	-2.29
WBGene00224377	5.80
WBGene00224381	-2.68
WBGene00224382	-1.73
WBGene00224383	3.24
WBGene00224384	2.47
WBGene00224386	7.03
WBGene00224387	7.89
WBGene00224389	9.08
WBGene00224390	-4.99
WBGene00224391	7.68
WBGene00224394	-2.52
WBGene00224395	2.13
WBGene00224396	-3.53
WBGene00224397	1.48
WBGene00224398	-1.61
WBGene00224399	5.38
WBGene00224400	-1.50
WBGene00224401	-2.15
WBGene00224402	6.82
WBGene00224403	4.89
WBGene00224405	1.88
WBGene00224406	1.27
WBGene00224410	1.07
WBGene00224412	4.69
WBGene00224413	-0.46
WBGene00224414	2.65
WBGene00224415	0.81
WBGene00224416	-4.97
WBGene00224417	-2.19
WBGene00224418	5.08
WBGene00224419	1.38
WBGene00224421	2.38
WBGene00224422	-1.62
WBGene00224423	-3.38
WBGene00224424	2.38
WBGene00224426	-5.18
WBGene00224427	0.85
WBGene00224429	6.14
WBGene00224430	5.99
WBGene00224431	-0.57
WBGene00224434	2.16
WBGene00224438	-0.74
WBGene00224439	4.70
WBGene00224440	-2.37
WBGene00224441	9.24
WBGene00224443	4.54
WBGene00224445	-3.04
WBGene00224446	-0.97
WBGene00224448	2.77
WBGene00224449	2.52
WBGene00224452	-2.69
WBGene00224455	-2.60
WBGene00224458	-2.99
WBGene00224462	-4.79
WBGene00224463	3.25
WBGene00224464	-2.84
WBGene00224465	2.04
WBGene00224466	-0.88
WBGene00224468	-4.76
WBGene00224469	6.56
WBGene00224470	-1.75
WBGene00224472	-3.68
WBGene00224473	-2.49
WBGene00224474	-0.49
WBGene00224476	-1.99
WBGene00224477	-5.49
WBGene00224479	9.20
WBGene00224480	2.29
WBGene00224481	-0.88
WBGene00224482	6.59
WBGene00224484	4.12
WBGene00224485	4.88
WBGene00224486	2.63
WBGene00224487	-1.71
WBGene00224488	6.23
WBGene00224489	1.02
WBGene00224490	4.74
WBGene00224493	3.64
WBGene00224494	12.97
WBGene00224495	-3.88
WBGene00224497	1.77
WBGene00224498	5.38
WBGene00224499	6.11
WBGene00224500	3.33
WBGene00224501	6.47
WBGene00224502	-1.86
WBGene00224503	2.41
WBGene00224504	-2.47
WBGene00224505	1.03
WBGene00224508	-3.32
WBGene00224509	4.65
WBGene00224510	-1.02
WBGene00224511	1.70
WBGene00224513	5.35
WBGene00224516	1.79
WBGene00224517	3.98
WBGene00224520	4.45
WBGene00224521	-4.40
WBGene00224523	4.35
WBGene00224525	-2.69
WBGene00224526	4.59
WBGene00224527	-2.06
WBGene00224529	-5.53
WBGene00224530	3.16
WBGene00224531	-5.60
WBGene00224533	2.30
WBGene00224534	1.54
WBGene00224535	-3.41
WBGene00224536	1.34
WBGene00224537	8.19
WBGene00224538	2.87
WBGene00224540	-0.50
WBGene00224541	1.04
WBGene00224542	-2.98
WBGene00224545	5.69
WBGene00224546	-0.92
WBGene00224549	-1.95
WBGene00224550	-1.08
WBGene00224551	3.10
WBGene00224552	2.51
WBGene00224553	5.05
WBGene00224554	-1.04
WBGene00224555	-2.03
WBGene00224558	2.93
WBGene00224559	-4.67
WBGene00224560	1.50
WBGene00224562	2.58
WBGene00224563	3.97
WBGene00224564	1.21
WBGene00224565	-1.29
WBGene00224566	1.26
WBGene00224570	-3.53
WBGene00224571	6.13
WBGene00224572	1.20
WBGene00224573	1.64
WBGene00224575	1.90
WBGene00224576	0.93
WBGene00224577	6.35
WBGene00224578	6.85
WBGene00224579	0.84
WBGene00224580	1.84
WBGene00224581	8.21
WBGene00224582	1.30
WBGene00224583	-9.71
WBGene00224584	6.53
WBGene00224585	-1.25
WBGene00224586	-1.21
WBGene00224587	3.03
WBGene00224588	-1.64
WBGene00224591	0.81
WBGene00224592	-2.42
WBGene00224593	5.94
WBGene00224594	5.69
WBGene00224595	-1.84
WBGene00224596	2.79
WBGene00224597	-2.75
WBGene00224599	0.53
WBGene00224600	-3.11
WBGene00224601	-2.05
WBGene00224602	8.35
WBGene00224603	-3.60
WBGene00224604	5.89
WBGene00224605	6.80
WBGene00224606	4.05
WBGene00224607	2.53
WBGene00224608	-1.44
WBGene00224609	-0.93
WBGene00224610	-1.59
WBGene00224611	4.12
WBGene00224612	-1.85
WBGene00224613	4.93
WBGene00224614	-2.93
WBGene00224615	0.89
WBGene00224617	-9.01
WBGene00224618	1.46
WBGene00224619	-1.02
WBGene00224620	-3.97
WBGene00224621	10.63
WBGene00224622	1.62
