Run	Condition	organism_part	strain	timepoint
SRR6364574	trunk fragments, day 0	trunk fragments	Sexual S2F2	day 0
SRR6364575	trunk fragments, day 0	trunk fragments	Sexual S2F2	day 0
SRR6364576	trunk fragments, day 0	trunk fragments	Sexual S2F2	day 0
SRR6364577	trunk fragments, day 3	trunk fragments	Sexual S2F2	day 3
SRR6364578	trunk fragments, day 3	trunk fragments	Sexual S2F2	day 3
SRR6364579	trunk fragments, day 3	trunk fragments	Sexual S2F2	day 3
SRR6364580	trunk fragments, day 5	trunk fragments	Sexual S2F2	day 5
SRR6364581	trunk fragments, day 5	trunk fragments	Sexual S2F2	day 5
SRR6364582	trunk fragments, day 5	trunk fragments	Sexual S2F2	day 5
SRR6364583	trunk fragments, day 7	trunk fragments	Sexual S2F2	day 7
SRR6364584	trunk fragments, day 7	trunk fragments	Sexual S2F2	day 7
SRR6364585	trunk fragments, day 7	trunk fragments	Sexual S2F2	day 7
SRR6364586	whole juvenile animal	whole organism	Sexual S2F2	
SRR6364587	whole juvenile animal	whole organism	Sexual S2F2	
SRR6364588	whole juvenile animal	whole organism	Sexual S2F2	
