Run	Sample	Condition	developmental_stage	sex	strain	organism_part
SRR006511	SRS001788		L2 larva Ce	hermaphrodite	N2	organism
SRR006512	SRS001788		L2 larva Ce	hermaphrodite	N2	organism
SRR006513	SRS001788		L2 larva Ce	hermaphrodite	N2	organism
SRR006514	SRS001789		adult	hermaphrodite	N2	organism
SRR006515	SRS001789		adult	hermaphrodite	N2	organism
SRR006516	SRS001789		adult	hermaphrodite	N2	organism
SRR006519	SRS001790		L3 larva Ce	hermaphrodite	N2	organism
SRR006520	SRS001790		L3 larva Ce	hermaphrodite	N2	organism
SRR006517	SRS001791		L4 larva Ce	hermaphrodite	N2	organism
SRR006518	SRS001791		L4 larva Ce	hermaphrodite	N2	organism
SRR016688	SRS002999		L1 larva Ce	hermaphrodite	MT10430	organism
SRR016689	SRS002999		L1 larva Ce	hermaphrodite	MT10430	organism
SRR016690	SRS002999		L1 larva Ce	hermaphrodite	MT10430	organism
SRR016691	SRS002999		L1 larva Ce	hermaphrodite	MT10430	organism
SRR016684	SRS003000		L4 larva Ce	male	CB4689	organism
SRR016685	SRS003000		L4 larva Ce	male	CB4689	organism
SRR016686	SRS003000		L4 larva Ce	male	CB4689	organism
SRR016669	SRS003001		proliferating embryo Ce	hermaphrodite	N2	organism
SRR016670	SRS003001		proliferating embryo Ce	hermaphrodite	N2	organism
SRR016671	SRS003002		proliferating embryo Ce	hermaphrodite	N2	organism
SRR016672	SRS003002		proliferating embryo Ce	hermaphrodite	N2	organism
SRR016673	SRS003002		proliferating embryo Ce	hermaphrodite	N2	organism
SRR016674	SRS003003		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR016675	SRS003003		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR016676	SRS003004		proliferating embryo Ce	hermaphrodite	N2	organism
SRR016677	SRS003004		proliferating embryo Ce	hermaphrodite	N2	organism
SRR016678	SRS003004		proliferating embryo Ce	hermaphrodite	N2	organism
SRR016679	SRS003005		L1 larva Ce	hermaphrodite	N2	organism
SRR016680	SRS003005		L1 larva Ce	hermaphrodite	N2	organism
SRR016681	SRS003005		L1 larva Ce	hermaphrodite	N2	organism
SRR023534	SRS004857		adult	hermaphrodite	BA671	organism
SRR023535	SRS004857		adult	hermaphrodite	BA671	organism
SRR023536	SRS004857		adult	hermaphrodite	BA671	organism
SRR023537	SRS004857		adult	hermaphrodite	BA671	organism
SRR027904	SRS004858		embryo Ce	male	CB1489	organism
SRR027905	SRS004858		embryo Ce	male	CB1489	organism
SRR027187	SRS004859		dauer larva Ce	hermaphrodite	CB1370	organism
SRR027188	SRS004859		dauer larva Ce	hermaphrodite	CB1370	organism
SRR027189	SRS004860		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR027190	SRS004860		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR027191	SRS004861		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR027192	SRS004861		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR023579	SRS004864		L4 larva Ce	hermaphrodite	N2	organism
SRR023580	SRS004864		L4 larva Ce	hermaphrodite	N2	organism
SRR023581	SRS004864		L4 larva Ce	hermaphrodite	N2	organism
SRR031113	SRS008265		adult	hermaphrodite	N2	organism
SRR031114	SRS008265		adult	hermaphrodite	N2	organism
SRR031115	SRS008266		adult	hermaphrodite	N2	organism
SRR031116	SRS008266		adult	hermaphrodite	N2	organism
SRR031117	SRS008267		adult	hermaphrodite	N2	organism
SRR031118	SRS008267		adult	hermaphrodite	N2	organism
SRR031119	SRS008267		adult	hermaphrodite	N2	organism
SRR031120	SRS008268		adult	hermaphrodite	N2	organism
SRR031121	SRS008268		adult	hermaphrodite	N2	organism
