Run	Condition	developmental_stage	sex	strain	treatment
SRR6490480	5-AzaC	adult	female	Puerto Rican	5-AzaC
SRR6490484	5-AzaC	adult	female	Puerto Rican	5-AzaC
SRR6490485	5-AzaC	adult	female	Puerto Rican	5-AzaC
SRR6490481	untreated	adult	female	Puerto Rican	
SRR6490482	untreated	adult	female	Puerto Rican	
SRR6490483	untreated	adult	female	Puerto Rican	
