Run	Condition	developmental_stage	organism_part	strain
ERR337909	Metacestode, cyst wall	metacestode	cyst wall	G7
ERR337922	Metacestode, cyst wall	metacestode	cyst wall	G7
ERR337912	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337925	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337937	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337949	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337961	Non-activated protoscolex		Non-activated protoscolex	G7
ERR337973	Non-activated protoscolex		Non-activated protoscolex	G7
