Run	Condition	description_title	strain	developmental_stage	source_name
SRR8201471	SRR8201471	X;II L1-L3 rep1 RNA-seq	YPT41	L1-L3	whole worms
SRR8201472	SRR8201472	X;II L1-L3 rep2 RNA-seq	YPT41	L1-L3	whole worms
SRR8201473	SRR8201473	X;II L1-L3 rep3 RNA-seq	YPT41	L1-L3	whole worms
SRR8201474	SRR8201474	X;II L1-L3 rep4 RNA-seq	YPT41	L1-L3	whole worms
SRR8201475	SRR8201475	X;V L1-L3 rep1 RNA-seq	15eh1	L1-L3	whole worms
SRR8201476	SRR8201476	X;V L1-L3 rep2 RNA-seq	15eh1	L1-L3	whole worms
SRR8201477	SRR8201477	X;V L1-L3 rep3 RNA-seq	15eh1	L1-L3	whole worms
SRR8201478	SRR8201478	X;V L1-L3 rep4 RNA-seq	15eh1	L1-L3	whole worms
SRR8201479	SRR8201479	N2 L1-L3 rep1 RNA-seq	N2	L1-L3	whole worms
SRR8201480	SRR8201480	N2 L1-L3 rep2 RNA-seq	N2	L1-L3	whole worms
SRR8201481	SRR8201481	N2 L1-L3 rep3 RNA-seq	N2	L1-L3	whole worms
SRR8201482	SRR8201482	N2 L1-L3 rep4 RNA-seq	N2	L1-L3	whole worms
