Run	Condition	developmental_stage	lat_lon	strain
ERR2023646	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
ERR2023647	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
ERR2023648	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
ERR2023649	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
ERR2023650	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
ERR2023651	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
ERR2023652	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
ERR2023653	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
ERR2023654	MIMR L3 larva	L3	-41.2909779,174.7661191	MIMR
