Run	Sample	Condition	culture_condition_o2_level	organism_part	source_name	title	developmental_stage	genotype	sex	strain
SRR12034951	SAMN15298749	SAMN15298749	O2_21	o2-sensing neurons	sensory neurons	GFP21_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034952	SAMN15298749	SAMN15298749	O2_21	o2-sensing neurons	sensory neurons	GFP21_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034953	SAMN15298749	SAMN15298749	O2_21	o2-sensing neurons	sensory neurons	GFP21_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034948	SAMN15298750	SAMN15298750	O2_21	o2-sensing neurons	sensory neurons	GFP21_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034949	SAMN15298750	SAMN15298750	O2_21	o2-sensing neurons	sensory neurons	GFP21_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034950	SAMN15298750	SAMN15298750	O2_21	o2-sensing neurons	sensory neurons	GFP21_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034945	SAMN15298751	SAMN15298751	O2_7	whole organism	Whole-worm	WW7_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034946	SAMN15298751	SAMN15298751	O2_7	whole organism	Whole-worm	WW7_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034947	SAMN15298751	SAMN15298751	O2_7	whole organism	Whole-worm	WW7_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034942	SAMN15298752	SAMN15298752	O2_7	whole organism	Whole-worm	WW7_D7_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034943	SAMN15298752	SAMN15298752	O2_7	whole organism	Whole-worm	WW7_D7_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034944	SAMN15298752	SAMN15298752	O2_7	whole organism	Whole-worm	WW7_D7_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034939	SAMN15298753	SAMN15298753	O2_7	whole organism	Whole-worm	WW7_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034940	SAMN15298753	SAMN15298753	O2_7	whole organism	Whole-worm	WW7_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034941	SAMN15298753	SAMN15298753	O2_7	whole organism	Whole-worm	WW7_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034936	SAMN15298754	SAMN15298754	O2_7	whole organism	Whole-worm	WW7_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034937	SAMN15298754	SAMN15298754	O2_7	whole organism	Whole-worm	WW7_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034938	SAMN15298754	SAMN15298754	O2_7	whole organism	Whole-worm	WW7_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034933	SAMN15298755	SAMN15298755	O2_21	whole organism	Whole-worm	WW21_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034934	SAMN15298755	SAMN15298755	O2_21	whole organism	Whole-worm	WW21_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034935	SAMN15298755	SAMN15298755	O2_21	whole organism	Whole-worm	WW21_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034930	SAMN15298757	SAMN15298757	O2_21	whole organism	Whole-worm	WW21_D7_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034931	SAMN15298757	SAMN15298757	O2_21	whole organism	Whole-worm	WW21_D7_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034927	SAMN15298758	SAMN15298758	O2_21	whole organism	Whole-worm	WW21_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034928	SAMN15298758	SAMN15298758	O2_21	whole organism	Whole-worm	WW21_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034929	SAMN15298758	SAMN15298758	O2_21	whole organism	Whole-worm	WW21_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034924	SAMN15298759	SAMN15298759	O2_21	whole organism	Whole-worm	WW21_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034925	SAMN15298759	SAMN15298759	O2_21	whole organism	Whole-worm	WW21_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034926	SAMN15298759	SAMN15298759	O2_21	whole organism	Whole-worm	WW21_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034921	SAMN15298760	SAMN15298760	O2_7	whole organism	Whole-worm	WW7_D1_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
