Run	Condition	title	developmental_stage	organism_part	source_name
SRR7221434	SRR7221434	N2, repeat 1	L4	whole organism	L4 Worms
SRR7221435	SRR7221435	N2, repeat 2	L4	whole organism	L4 Worms
SRR7221436	SRR7221436	N2, repeat 3	L4	whole organism	L4 Worms
SRR7221437	SRR7221437	ATFS-1 (null), repeat 1	L4	whole organism	L4 Worms
SRR7221438	SRR7221438	ATFS-1 (null), repeat 2	L4	whole organism	L4 Worms
SRR7221439	SRR7221439	ATFS-1 (null), repeat 3	L4	whole organism	L4 Worms
