Run	Condition	developmental stage	treatment
SRR7601330	Fresh juveniles	second stage juvenile	
SRR7601331	Fresh juveniles	second stage juvenile	
SRR7601328	Mi-sbp-1 ds-RNA	second stage juvenile	Mi-sbp-1 ds-RNA
SRR7601329	Mi-sbp-1 ds-RNA	second stage juvenile	Mi-sbp-1 ds-RNA
SRR7601332	starvation, 6 days	second stage juvenile	starvation, 6 days
SRR7601333	starvation, 6 days	second stage juvenile	starvation, 6 days
