Run	Condition	culture_conditions	developmental_stage	organism_part	sex
SRR7693871	germ-free host	germ-free host	adult	whole organism	female and male
SRR7693872	germ-free host	germ-free host	adult	whole organism	female and male
SRR7693873	germ-free host	germ-free host	adult	whole organism	female and male
SRR7693874	specific pathogen-free host	specific pathogen-free host	adult	whole organism	female and male
SRR7693875	specific pathogen-free host	specific pathogen-free host	adult	whole organism	female and male
SRR7693876	specific pathogen-free host	specific pathogen-free host	adult	whole organism	female and male
