Run	Condition	cell_type	rnai
SRR5761202	p53	X1	p53
SRR5761203	p53	X1	p53
SRR5761204	p53	X1	p53
SRR5761205	p53	X1	p53
SRR5761206	p53	X1	p53
SRR5761207	p53	X1	p53
SRR5761208	p53	X1	p53
SRR5761209	p53	X1	p53
SRR5761210	p53	X1	p53
SRR5761211	p53	X1	p53
SRR5761212	p53	X1	p53
SRR5761213	p53	X1	p53
SRR5761226	unc22	X1	unc22
SRR5761227	unc22	X1	unc22
SRR5761228	unc22	X1	unc22
SRR5761229	unc22	X1	unc22
SRR5761230	unc22	X1	unc22
SRR5761231	unc22	X1	unc22
SRR5761232	unc22	X1	unc22
SRR5761233	unc22	X1	unc22
SRR5761234	unc22	X1	unc22
SRR5761235	unc22	X1	unc22
SRR5761236	unc22	X1	unc22
SRR5761214	zfp1	X1	zfp1
SRR5761215	zfp1	X1	zfp1
SRR5761216	zfp1	X1	zfp1
SRR5761217	zfp1	X1	zfp1
SRR5761218	zfp1	X1	zfp1
SRR5761219	zfp1	X1	zfp1
SRR5761220	zfp1	X1	zfp1
SRR5761221	zfp1	X1	zfp1
SRR5761222	zfp1	X1	zfp1
SRR5761223	zfp1	X1	zfp1
SRR5761224	zfp1	X1	zfp1
SRR5761225	zfp1	X1	zfp1
