Run	Condition	developmental_stage	organism_part	sex	strain
SRR638942	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR638946	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR638971	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639015	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639020	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639021	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639022	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639023	LE2544	L1 larva Ce	organism	hermaphrodite	LE2544
SRR639082	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639084	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639087	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639088	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639089	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639090	LE2962	L1 larva Ce	organism	hermaphrodite	LE2962
SRR639091	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639092	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639093	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639094	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639095	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639096	LE2963	L1 larva Ce	organism	hermaphrodite	LE2963
SRR639097	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639098	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639099	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639101	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639102	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
SRR639105	LE3037	L1 larva Ce	organism	hermaphrodite	LE3037
