Run	Condition	developmental_stage
SRR2010454	IJ	IJ
SRR2010455	IJ	IJ
SRR2010452	L1	L1
SRR2010453	L1	L1
SRR2010450	embryo	embryo
SRR2010451	embryo	embryo
SRR2010456	young adult	young adult
SRR2010457	young adult	young adult
