Run	Condition	developmental_stage	host	organism_part
SRR6762397	Strobilated worm	Strobilated worm	Mus musculus	whole organism
SRR6762398	Strobilated worm	Strobilated worm	Mus musculus	whole organism
SRR6762399	Strobilated worm	Strobilated worm	Mus musculus	whole organism
SRR6762400	Tetrathyridium	Tetrathyridium	Mus musculus	whole organism
SRR6762401	Tetrathyridium	Tetrathyridium	Mus musculus	whole organism
SRR6762402	Tetrathyridium	Tetrathyridium	Mus musculus	whole organism
