Run	Condition	strain	developmental_stage
SRR8347480	AF14	AF16	young adult
SRR8347481	AF14	AF16	young adult
SRR8347482	AF14	AF16	young adult
SRR8347483	AF20	AF16	young adult
SRR8347484	AF20	AF16	young adult
SRR8347485	AF20	AF16	young adult
SRR8347486	AF30	AF16	young adult
SRR8347487	AF30	AF16	young adult
SRR8347488	AF30	AF16	young adult
SRR8347476	HK14	HK104	young adult
SRR8347477	HK14	HK104	young adult
SRR8347489	HK14	HK104	young adult
SRR8347472	HK20	HK104	young adult
SRR8347478	HK20	HK104	young adult
SRR8347479	HK20	HK104	young adult
SRR8347473	HK30	HK104	young adult
SRR8347474	HK30	HK104	young adult
SRR8347475	HK30	HK104	young adult
