Run	Condition	developmental_stage	sex	strain	treatment
SRR6490480	5-AzaC	adult	female	NMRI	5-AzaC
SRR6490484	5-AzaC	adult	female	NMRI	5-AzaC
SRR6490485	5-AzaC	adult	female	NMRI	5-AzaC
SRR6490481	untreated	adult	female	NMRI	
SRR6490482	untreated	adult	female	NMRI	
SRR6490483	untreated	adult	female	NMRI	
