Run	Condition	description_title	ir_treatment
SRR8247842	SRR8247842	0-1	0Gy
SRR8247843	SRR8247843	0-2	0Gy
SRR8247844	SRR8247844	200-1	200Gy
SRR8247845	SRR8247845	200-2	200Gy
SRR8247846	SRR8247846	400-1	400Gy
SRR8247847	SRR8247847	400-2	400Gy
