Run	Condition	isolate	sample_name	strain	biomaterial_provider	description_title	developmental_stage	growth_protocol	organism_part	sex
SRR8041615	B2502	Y8	B2502	WN1006	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041616	B2503	Y9	B2503	WN1007	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041617	B2504	Y10	B2504	WN1008	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041618	B2505	Y11	B2505	WN1009	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041619	B2506	Y12	B2506	WN1010	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041620	B2507	Y13	B2507	WN1011	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041621	B2509	Y15	B2509	WN1013	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041622	B2510	Y16	B2510	WN1014	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041623	B2511	Y17	B2511	WN1015	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041587	B2512	Y18	B2512	WN1016	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041586	B2513	Y19	B2513	WN1017	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041585	B2514	Y20	B2514	WN1018	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041584	B2515	Y21	B2515	WN1019	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041583	B2517	Y23	B2517	WN1021	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041582	B2518	Y24	B2518	WN1022	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
