# Gene expression in TPM for each run in  study SRP066611
	SRR2954987	SRR2954988	SRR2954989	SRR2954990	SRR2954991	SRR2954992	SRR2954999	SRR2955000	SRR2955001	SRR2954996	SRR2954997	SRR2954998	SRR2955005	SRR2955006	SRR2954993	SRR2954994	SRR2954995	SRR2955002	SRR2955003	SRR2955004
WBGene00220262	0	0	0	0	0	0	0	0	0	0	6.2	8.95	0	0	0	0	0	0	0	5.43
WBGene00220263	23.82	34.69	17.94	27.14	28.73	25.41	26.34	23.31	11.96	9.31	20.04	37.73	16.65	6.97	16.9	12.38	3.84	16.96	15.56	23.79
WBGene00220265	13.58	29.13	31.49	160.56	99.61	59.68	105.26	127.77	86.64	302.16	144.33	160.88	190.35	46.84	89.52	169.09	256.7	171.2	120.2	51.7
WBGene00220269	79.97	110.11	98.89	64.64	111.7	34.7	214.22	127.37	75.57	87.31	137.34	148.58	34.35	0	55.12	30.51	89.56	38.95	69.89	90.18
WBGene00220274	51.84	42	43.28	52.38	59.74	30.37	35.71	78.96	53.74	28.3	50.08	86.69	45.1	44.7	64.32	66.76	17.42	85.23	56.07	52.62
WBGene00220275	0.28	0.09	0	0.69	0	0.37	0.65	0.34	0.7	1.75	0	0.53	0	0	0	1.29	0	0.41	0.74	0.32
WBGene00220276	52.31	56.99	83.18	67.46	73.08	68.11	72.93	71.42	60.91	46.24	57.76	76.37	77.05	60.14	100.45	132.61	50.22	60.07	58.79	80.07
WBGene00220277	135.19	72.08	51.01	51.86	38.41	53.69	94.7	32.85	99.87	77.55	26.56	63.86	106.3	86.93	28.43	55.08	100.08	70.32	63.08	77.52
WBGene00220278	0	0	0	4.07	0	0	0	0	0	0	0	28.03	0	17.35	0	0	0	0	0	0
WBGene00220280	216.37	204.81	207.71	156.55	126.81	144.78	145.92	119.29	135.12	134.64	169.56	177.11	172.57	161.77	185.38	140.3	127.1	139.3	157.71	138.21
WBGene00220281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220284	656.54	362.85	421.49	491.34	457.52	674.2	960.42	930.57	691.7	2179.52	496.01	657.9	1146.52	1607.95	512.54	526.95	1249.21	1086.68	876.25	1028.25
WBGene00220288	7182.68	4099.3	3322.84	5222.69	4051.03	6954.33	9560.17	6941.44	5010.04	12557.1	6633.34	5764.76	8670.22	13348.45	4288.24	4491.58	6137.84	10829.16	8107.64	8729.41
WBGene00220289	2550.41	1588.06	1213.7	2086.02	1904	3359.81	2921.13	1823.65	1526.35	4544.08	2528.23	2228.64	2178.17	3698.15	1540.82	1851.61	1913.33	3638.64	2430.39	3156.29
WBGene00220294	8.08	0	0	6.53	0	0	27.82	0	0	0	0	0	0	0	0	0	27.14	0	31.77	0
WBGene00220302	0	0	0	1.36	0	0	0	0	1.78	0	0	9.34	6.48	0	15.6	0	0	0	32.97	0
WBGene00220303	32.51	12.39	12.06	21.02	40.87	25.39	22.39	0	13.82	17.75	0	0	12.57	0	20.17	22.33	32.77	14.25	0	22
WBGene00220306	6.79	12.31	12.6	19.22	17.08	10.61	18.72	21.91	13.72	9.64	13.13	15.15	15.76	16.4	23.18	35	11.41	26.81	8.02	11.49
WBGene00220308	23.87	30.34	44.28	28.94	16.67	0	41.11	14.26	16.92	0	46.12	22.18	15.38	0	37.02	40.99	0	17.44	31.3	13.46
WBGene00220309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220310	3.48	9.94	12.9	16.86	29.14	0	23.95	0	0	18.98	0	19.38	13.44	11.99	10.78	11.94	11.68	0	41.02	0
WBGene00220316	2.99	0	11.11	4.84	0	0	10.32	10.73	3.18	16.35	0	16.69	11.58	0	0	10.29	10.06	0	0	0
WBGene00220317	2.19	3.48	0	1.18	0	0	2.52	5.23	2.33	0.8	2.82	0	0	2.52	2.27	0	0	0	5.74	0
WBGene00220320	31.66	37.85	33.57	66.63	58.97	54.97	46.74	50.43	44.35	19.76	62.15	33.62	50.52	24.27	34.3	62.14	23.64	26.44	57.33	35.71
WBGene00220321	40.56	25.78	35.83	39.03	48.57	30.18	6.65	6.92	20.53	18.98	37.32	21.53	7.47	6.66	53.92	53.07	19.47	25.4	22.79	13.07
WBGene00220328	0	0	0	0	0	0	0	3.41	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220335	6.45	9.22	11.96	11.73	10.13	18.89	0	11.56	5.14	4.4	3.11	8.99	9.35	8.34	12.5	16.61	5.42	7.07	6.34	16.36
WBGene00220337	33.74	51.46	37.55	16.36	42.42	39.53	11.62	12.09	7.17	25.79	78.23	0	13.04	11.64	62.79	23.17	0	0	0	22.83
WBGene00220341	4.25	10.79	15.75	3.43	11.86	11.06	14.62	5.07	3.01	1.55	16.41	0	5.47	4.88	8.78	0	0	12.41	5.57	0
WBGene00220346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96
WBGene00220348	11.94	11.38	0	3.22	0	0	0	0	8.46	8.69	15.37	0	0	13.72	12.34	0	13.37	17.44	31.3	0
WBGene00220352	44.99	51.46	45.9	46.36	42.42	30.75	46.48	16.12	38.26	30.7	56.5	37.61	34.79	19.39	31.4	30.9	26.45	34.52	48.66	38.05
WBGene00220355	49.46	86.44	50.98	62.19	149.7	85.86	75.72	49.24	73.03	27	42.48	91.9	84.99	56.86	68.19	66.06	46.16	60.24	108.08	102.27
WBGene00220356	10.08	6.41	6.23	2.72	7.04	0	0	6.02	0	0	0	18.73	0	0	0	0	0	0	0	0
WBGene00220358	28.19	19.96	38.84	30.59	23.62	31.45	30.51	40.4	27.4	33.41	31.12	13.47	31.13	11.11	32.47	11.06	37.88	28.24	22.17	10.9
