Run	Condition	description_title	developmental_stage	source_name
SRR8240860	SRR8240860	fer-15 Day1 rep1	adult day 1	whole worm
SRR8240861	SRR8240861	fer-15 Day1 rep2	adult day 1	whole worm
SRR8240862	SRR8240862	fer-15 Day1 rep3	adult day 1	whole worm
SRR8240863	SRR8240863	fer-15 Day2 rep1	adult day 2	whole worm
SRR8240864	SRR8240864	fer-15 Day2 rep2	adult day 2	whole worm
SRR8240865	SRR8240865	fer-15 Day2 rep3	adult day 2	whole worm
SRR8240866	SRR8240866	fer-15 Day3 rep1	adult day 3	whole worm
SRR8240867	SRR8240867	fer-15 Day3 rep2	adult day 3	whole worm
SRR8240868	SRR8240868	fer-15 Day3 rep3	adult day 3	whole worm
SRR8240869	SRR8240869	fer-15 Day4 rep1	adult day 4	whole worm
SRR8240870	SRR8240870	fer-15 Day4 rep2	adult day 4	whole worm
SRR8240871	SRR8240871	fer-15 Day4 rep3	adult day 4	whole worm
SRR8240872	SRR8240872	fer-15 Day5 rep1	adult day 5	whole worm
SRR8240873	SRR8240873	fer-15 Day5 rep2	adult day 5	whole worm
SRR8240874	SRR8240874	fer-15 Day5 rep3	adult day 5	whole worm
SRR8240875	SRR8240875	fer-15 Day6 rep1	adult day 6	whole worm
SRR8240876	SRR8240876	fer-15 Day6 rep2	adult day 6	whole worm
SRR8240877	SRR8240877	fer-15 Day6 rep3	adult day 6	whole worm
SRR8240878	SRR8240878	fer-15 Day7 rep1	adult day 7	whole worm
SRR8240879	SRR8240879	fer-15 Day7 rep2	adult day 7	whole worm
SRR8240880	SRR8240880	fer-15 Day7 rep3	adult day 7	whole worm
SRR8240881	SRR8240881	daf-16;fer-15 Day1 rep1	adult day 1	whole worm
SRR8240882	SRR8240882	daf-16;fer-15 Day1 rep2	adult day 1	whole worm
SRR8240883	SRR8240883	daf-16;fer-15 Day1 rep3	adult day 1	whole worm
SRR8240884	SRR8240884	daf-16;fer-15 Day2 rep1	adult day 2	whole worm
SRR8240885	SRR8240885	daf-16;fer-15 Day2 rep2	adult day 2	whole worm
SRR8240886	SRR8240886	daf-16;fer-15 Day2 rep3	adult day 2	whole worm
SRR8240887	SRR8240887	daf-16;fer-15 Day3 rep1	adult day 3	whole worm
SRR8240888	SRR8240888	daf-16;fer-15 Day3 rep2	adult day 3	whole worm
SRR8240889	SRR8240889	daf-16;fer-15 Day3 rep3	adult day 3	whole worm
SRR8240890	SRR8240890	daf-16;fer-15 Day4 rep1	adult day 4	whole worm
SRR8240891	SRR8240891	daf-16;fer-15 Day4 rep2	adult day 4	whole worm
SRR8240892	SRR8240892	daf-16;fer-15 Day4 rep3	adult day 4	whole worm
SRR8240893	SRR8240893	daf-16;fer-15 Day5 rep1	adult day 5	whole worm
SRR8240894	SRR8240894	daf-16;fer-15 Day5 rep2	adult day 5	whole worm
SRR8240895	SRR8240895	daf-16;fer-15 Day5 rep3	adult day 5	whole worm
SRR8240896	SRR8240896	daf-16;fer-15 Day6 rep1	adult day 6	whole worm
SRR8240897	SRR8240897	daf-16;fer-15 Day6 rep2	adult day 6	whole worm
SRR8240898	SRR8240898	daf-16;fer-15 Day6 rep3	adult day 6	whole worm
SRR8240899	SRR8240899	daf-16;fer-15 Day7 rep1	adult day 7	whole worm
SRR8240900	SRR8240900	daf-16;fer-15 Day7 rep2	adult day 7	whole worm
SRR8240901	SRR8240901	daf-16;fer-15 Day7 rep3	adult day 7	whole worm
