Run	Sample	Condition	developmental_stage	sample_description
SRR1610144	SAMN03103651	L3 in mosquito	L3	mosquito
SRR1610416	SAMN03103651	L3 in mosquito	L3	mosquito
SRR1610143	SRR1610143	microfilariae in blood	microfilariae	blood
