Run	Condition	sample_name	title	developmental_stage	organism_part	sex	strain
SRR8662632	N2_Cn-H99_1	N2_Cn-H99_1	N2_Cn-H99_1	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8662631	N2_Cn-H99_2	N2_Cn-H99_2	N2_Cn-H99_2	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8662630	N2_Cn-H99_3	N2_Cn-H99_3	N2_Cn-H99_3	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8662635	N2_OP50_1	N2_OP50_1	N2_OP50_1	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8662634	N2_OP50_2	N2_OP50_2	N2_OP50_2	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8662633	N2_OP50_3	N2_OP50_3	N2_OP50_3	56 hours	whole organism	hermaphrodite	Bristol N2
