Run	Condition	sample_name	developmental_stage	organism_part	sex	strain	title
SRR12699052	bcat-1 RNAi neurons	bcat-1 RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699053	bcat-1 RNAi neurons	bcat-1 RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699054	bcat-1 RNAi neurons	bcat-1 RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699055	bcat-1 RNAi neurons	bcat-1 RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699056	bcat-1 RNAi neurons	bcat-1 RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699057	control RNAi neurons	control RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699058	control RNAi neurons	control RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699059	control RNAi neurons	control RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699060	control RNAi neurons	control RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
SRR12699061	control RNAi neurons	control RNAi neurons	Day 5 adult	neurons	hermaphrodite	TU3311	Model organism or animal sample from Caenorhabditis elegans
