Run	Condition	culture_conditions	developmental_stage	strain
SRR4017216	OP50	OP50	adult	RS2333
SRR4017217	OP50	OP50	adult	RS2333
SRR4017218	Yeast C3	Yeast C3	adult	RS2333
SRR4017219	Yeast C3	Yeast C3	adult	RS2333
SRR4017220	Yeast C5	Yeast C5	adult	RS2333
SRR4017221	Yeast C5	Yeast C5	adult	RS2333
