Run	Condition	sample	strain
ERR233394	Activated protoscolex, MS10	Activated protoscolex	MS10
ERR233398	Metacestode vesicle, without brood chambers, G8065	Metacestode vesicle, without brood chambers	G8065
ERR233395	Non-activated protoscolex, MS10	Non-activated protoscolex	MS10
ERR233396	Primary cells (stage 1), G8065	Primary cells (stage 1)	G8065
ERR233397	Primary cells 11 days (stage 2), G8065	Primary cells 11 days (stage 2)	G8065
ERR233400	Unannotated	Unannotated	
ERR234336	Unannotated	Unannotated	
