Run	Condition	developmental_stage	rna	strain
SRR580392	L4 & adult males, AF16 (WT)	L4 & adult males	poly-A RNA	AF16 (WT)
SRR580393	L4 & adult males, AF16 (WT)	L4 & adult males	poly-A RNA	AF16 (WT)
SRR580394	L4 & adult males, AF16 (WT)	L4 & adult males	poly-A RNA	AF16 (WT)
SRR580389	L4 & adult pseudo-females, she-1(v47)	L4 & adult pseudo-females	poly-A RNA	she-1(v47)
SRR580390	L4 & adult pseudo-females, she-1(v47)	L4 & adult pseudo-females	poly-A RNA	she-1(v47)
SRR580391	L4 & adult pseudo-females, she-1(v47)	L4 & adult pseudo-females	poly-A RNA	she-1(v47)
