Run	Sample	Condition	strain	title	developmental_stage	organism_part	source_name
SRR11272433	SAMN14337150	SAMN14337150	HBR1010	16006-0009_nas-38(ok3407)_3	L4 lethargus	whole organism	whole organism
SRR11272434	SAMN14337150	SAMN14337150	HBR1010	16006-0009_nas-38(ok3407)_3	L4 lethargus	whole organism	whole organism
SRR11272435	SAMN14337150	SAMN14337150	HBR1010	16006-0009_nas-38(ok3407)_3	L4 lethargus	whole organism	whole organism
SRR11272436	SAMN14337150	SAMN14337150	HBR1010	16006-0009_nas-38(ok3407)_3	L4 lethargus	whole organism	whole organism
SRR11272429	SAMN14337153	SAMN14337153	HBR1010	16006-0008_nas-38(ok3407)_2	L4 lethargus	whole organism	whole organism
SRR11272430	SAMN14337153	SAMN14337153	HBR1010	16006-0008_nas-38(ok3407)_2	L4 lethargus	whole organism	whole organism
SRR11272431	SAMN14337153	SAMN14337153	HBR1010	16006-0008_nas-38(ok3407)_2	L4 lethargus	whole organism	whole organism
SRR11272432	SAMN14337153	SAMN14337153	HBR1010	16006-0008_nas-38(ok3407)_2	L4 lethargus	whole organism	whole organism
SRR11272425	SAMN14337154	SAMN14337154	HBR1010	16006-0007_nas-38(ok3407)_1	L4 lethargus	whole organism	whole organism
SRR11272426	SAMN14337154	SAMN14337154	HBR1010	16006-0007_nas-38(ok3407)_1	L4 lethargus	whole organism	whole organism
SRR11272427	SAMN14337154	SAMN14337154	HBR1010	16006-0007_nas-38(ok3407)_1	L4 lethargus	whole organism	whole organism
SRR11272428	SAMN14337154	SAMN14337154	HBR1010	16006-0007_nas-38(ok3407)_1	L4 lethargus	whole organism	whole organism
SRR11272421	SAMN14337157	SAMN14337157	N2	16006-0006_wild_type_3	L4 lethargus	whole organism	whole organism
SRR11272422	SAMN14337157	SAMN14337157	N2	16006-0006_wild_type_3	L4 lethargus	whole organism	whole organism
SRR11272423	SAMN14337157	SAMN14337157	N2	16006-0006_wild_type_3	L4 lethargus	whole organism	whole organism
SRR11272424	SAMN14337157	SAMN14337157	N2	16006-0006_wild_type_3	L4 lethargus	whole organism	whole organism
SRR11272417	SAMN14337159	SAMN14337159	N2	16006-0005_wild_type_2	L4 lethargus	whole organism	whole organism
SRR11272418	SAMN14337159	SAMN14337159	N2	16006-0005_wild_type_2	L4 lethargus	whole organism	whole organism
SRR11272419	SAMN14337159	SAMN14337159	N2	16006-0005_wild_type_2	L4 lethargus	whole organism	whole organism
SRR11272420	SAMN14337159	SAMN14337159	N2	16006-0005_wild_type_2	L4 lethargus	whole organism	whole organism
SRR11272413	SAMN14337163	SAMN14337163	N2	16006-0004_wild_type_1	L4 lethargus	whole organism	whole organism
SRR11272414	SAMN14337163	SAMN14337163	N2	16006-0004_wild_type_1	L4 lethargus	whole organism	whole organism
SRR11272415	SAMN14337163	SAMN14337163	N2	16006-0004_wild_type_1	L4 lethargus	whole organism	whole organism
SRR11272416	SAMN14337163	SAMN14337163	N2	16006-0004_wild_type_1	L4 lethargus	whole organism	whole organism
SRR11272410	SAMN14337164	SAMN14337164	HBR1114	16006-0003_nas-38(tm2655)_3	L4 lethargus	whole organism	whole organism
SRR11272411	SAMN14337164	SAMN14337164	HBR1114	16006-0003_nas-38(tm2655)_3	L4 lethargus	whole organism	whole organism
SRR11272412	SAMN14337164	SAMN14337164	HBR1114	16006-0003_nas-38(tm2655)_3	L4 lethargus	whole organism	whole organism
SRR11272405	SAMN14337166	SAMN14337166	HBR1114	16006-0002_nas-38(tm2655)_2	L4 lethargus	whole organism	whole organism
SRR11272406	SAMN14337166	SAMN14337166	HBR1114	16006-0002_nas-38(tm2655)_2	L4 lethargus	whole organism	whole organism
SRR11272407	SAMN14337166	SAMN14337166	HBR1114	16006-0002_nas-38(tm2655)_2	L4 lethargus	whole organism	whole organism
SRR11272401	SAMN14337167	SAMN14337167	HBR1114	16006-0001_nas-38(tm2655)_1	L4 lethargus	whole organism	whole organism
SRR11272402	SAMN14337167	SAMN14337167	HBR1114	16006-0001_nas-38(tm2655)_1	L4 lethargus	whole organism	whole organism
SRR11272403	SAMN14337167	SAMN14337167	HBR1114	16006-0001_nas-38(tm2655)_1	L4 lethargus	whole organism	whole organism
SRR11272404	SAMN14337167	SAMN14337167	HBR1114	16006-0001_nas-38(tm2655)_1	L4 lethargus	whole organism	whole organism
