Run	Condition	organism_part	strain
ERR604979	muscle	muscle	He Nan, China
ERR604980	oral sucker	oral sucker	He Nan, China
ERR604981	ovary	ovary	He Nan, China
ERR604978	testis	testis	He Nan, China
