Run	Condition	genotype	title	developmental_stage	source_name	strain
SRR10574840	SRR10574840	wild type	wild type-1	young adult	whole worm	N2 (Bristol)
SRR10574841	SRR10574841	wild type	wild type-2	young adult	whole worm	N2 (Bristol)
SRR10574842	SRR10574842	wild type	wild type-3	young adult	whole worm	N2 (Bristol)
SRR10574843	SRR10574843	adr-1(zw96)	adr-1(zw96)-1	young adult	whole worm	N2 (Bristol)
SRR10574844	SRR10574844	adr-1(zw96)	adr-1(zw96)-2	young adult	whole worm	N2 (Bristol)
SRR10574845	SRR10574845	adr-1(zw96)	adr-1(zw96)-3	young adult	whole worm	N2 (Bristol)
