Run	Sample	Condition	developmental_stage	sex	strain	organism_part
SRR1635369	SRS734034		adult	hermaphrodite	SS104	gonad
SRR1635368	SRS734035		adult	hermaphrodite	SS104	gonad
SRR1635370	SRS734036		adult	hermaphrodite	SS104	germ line
SRR1635371	SRS734036		adult	hermaphrodite	SS104	germ line
SRR1635372	SRS734037		adult	hermaphrodite	SS104	germ line
SRR1635373	SRS734037		adult	hermaphrodite	SS104	germ line
