Run	Condition	genotype	strain	title	developmental_stage	source_name	treatment
SRR10919164	SRR10919164	ieSi57[eft-3p::TIR1::mRuby::unc-54 3'utr + Cb unc-119(+)] II; unc-119(ed3) III	CA1200	Soma Control Replicate 1	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919165	SRR10919165	ieSi57[eft-3p::TIR1::mRuby::unc-54 3'utr + Cb unc-119(+)] II; unc-119(ed3) III	CA1200	Soma Control Replicate 3	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919166	SRR10919166	sacy-1(tn1880[aid::gfp::myc::sacy-1]) I; ieSi57[eft-3p::TIR1::mRuby::unc-54 3'utr + Cb unc-119(+)] II	DG4703	Soma Deplete Replicate 1	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919167	SRR10919167	sacy-1(tn1880[aid::gfp::myc::sacy-1]) I; ieSi57[eft-3p::TIR1::mRuby::unc-54 3'utr + Cb unc-119(+)] II	DG4703	Soma Deplete Replicate 2	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919168	SRR10919168	sacy-1(tn1880[aid::gfp::myc::sacy-1]) I; ieSi57[eft-3p::TIR1::mRuby::unc-54 3'utr + Cb unc-119(+)] II	DG4703	Soma Deplete Replicate 3	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919169	SRR10919169	ieSi64[gld-1p::TIR1::mRuby::gld-1 3'utr + Cb unc-119(+)] II; unc-119(ed3) III	CA1352	Germline Control Replicate 1	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919170	SRR10919170	ieSi64[gld-1p::TIR1::mRuby::gld-1 3'utr + Cb unc-119(+)] II; unc-119(ed3) III	CA1352	Germline Control Replicate 2	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919171	SRR10919171	ieSi64[gld-1p::TIR1::mRuby::gld-1 3'utr + Cb unc-119(+)] II; unc-119(ed3) III	CA1352	Germline Control Replicate 3	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919172	SRR10919172	sacy-1(tn1880[aid::gfp::myc::sacy-1]) I; ieSi64[gld-1p::TIR1::mRuby::gld-1 3'utr + Cb unc-119(+)] II	DG4700	Germline Deplete Replicate 1	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919173	SRR10919173	sacy-1(tn1880[aid::gfp::myc::sacy-1]) I; ieSi64[gld-1p::TIR1::mRuby::gld-1 3'utr + Cb unc-119(+)] II	DG4700	Germline Deplete Replicate 2	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
SRR10919174	SRR10919174	sacy-1(tn1880[aid::gfp::myc::sacy-1]) I; ieSi64[gld-1p::TIR1::mRuby::gld-1 3'utr + Cb unc-119(+)] II	DG4700	Germline Deplete Replicate 3	young adult animals	Cell lysate from young adult animals	2mM auxin at 20oC for 24hrs
