Run	Condition	organism_part
SRR5582994	reproductive system	reproductive system
SRR5582995	reproductive system	reproductive system
SRR5582996	reproductive system	reproductive system
SRR5582997	reproductive system	reproductive system
SRR5582998	reproductive system	reproductive system
SRR5582999	reproductive system	reproductive system
SRR5583000	reproductive system	reproductive system
SRR5583001	reproductive system	reproductive system
SRR5583002	reproductive system	reproductive system
SRR5583003	reproductive system	reproductive system
