Run	Condition	cell_type	developmental_stage	organism_part	sample_name	sample_type	strain	treatment
SRR4046970	G1 stage adult, regenerating head	G1 cells	adult	regenerating head	M. lignano cells in G1 cell cycle stage from regenerating heads	FACS-isolated cells	DV1	
SRR4046971	G1 stage adult, regenerating head	G1 cells	adult	regenerating head	M. lignano cells in G1 cell cycle stage from regenerating heads	FACS-isolated cells	DV1	
SRR4046972	G1 stage adult, regenerating head	G1 cells	adult	regenerating head	M. lignano cells in G1 cell cycle stage from regenerating heads	FACS-isolated cells	DV1	
SRR4046957	G1 stage adult, whole organism	G1 cells	adult	whole organism	M. lignano cells in G1 cell cycle stage from adult animals	FACS-isolated cells	DV1	
SRR4046958	G1 stage adult, whole organism	G1 cells	adult	whole organism	M. lignano cells in G1 cell cycle stage from adult animals	FACS-isolated cells	DV1	
SRR4046959	G1 stage adult, whole organism	G1 cells	adult	whole organism	M. lignano cells in G1 cell cycle stage from adult animals	FACS-isolated cells	DV1	
SRR4046944	irradiation 210Gy, 0h		adult	whole organism	M. lignano adult animals 0 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected after the last pulse
SRR4046945	irradiation 210Gy, 0h		adult	whole organism	M. lignano adult animals 0 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected after the last pulse
SRR4046946	irradiation 210Gy, 0h		adult	whole organism	M. lignano adult animals 0 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected after the last pulse
SRR4046947	irradiation 210Gy, 12h		adult	whole organism	M. lignano adult animals 12 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected 12h after the last pulse
SRR4046948	irradiation 210Gy, 12h		adult	whole organism	M. lignano adult animals 12 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected 12h after the last pulse
