Run	Condition	sample_name
SRR773651	 China	B. xylophilus isolate from China
SRR824252	 Japan	B. xylophilus isolate from Japan
SRR824253	 Portugal, Alcácer do Sal	B. xylophilus isolate from Portugal, from Alcácer do Sal
SRR824254	 Portugal, Santa Comba Dão	B. xylophilus isolate from Portugal, from Santa Comba Dão
SRR824251	 Portugal, Santiago do Cacém	B. xylophilus isolate from Portugal, from Santiago do Cacém
SRR824255	 Portugal, Tábua	B. xylophilus isolate from Portugal, from Tábua
SRR824256	B. xylophilus isolate from USA	B. xylophilus isolate from USA
