Run	Condition	developmental_stage
SRR4119842	1.5-fold	1.5-fold
SRR4119843	1.5-fold	1.5-fold
SRR4119844	1.5-fold	1.5-fold
SRR4119845	1.5-fold	1.5-fold
SRR4119818	2-cell	2-cell
SRR4119819	2-cell	2-cell
SRR4119820	2-cell	2-cell
SRR4119821	2-cell	2-cell
SRR4119846	2-fold	2-fold
SRR4119847	2-fold	2-fold
SRR4119848	2-fold	2-fold
SRR4119849	2-fold	2-fold
SRR4119830	24-44-cell	24-44-cell
SRR4119831	24-44-cell	24-44-cell
SRR4119832	24-44-cell	24-44-cell
SRR4119833	24-44-cell	24-44-cell
SRR4119822	4-cell	4-cell
SRR4119823	4-cell	4-cell
SRR4119824	4-cell	4-cell
SRR4119825	4-cell	4-cell
SRR4119834	64-78-cell	64-78-cell
SRR4119835	64-78-cell	64-78-cell
SRR4119836	64-78-cell	64-78-cell
SRR4119837	64-78-cell	64-78-cell
SRR4119826	8-cell	8-cell
SRR4119827	8-cell	8-cell
SRR4119828	8-cell	8-cell
SRR4119829	8-cell	8-cell
SRR4119854	L1	L1
SRR4119855	L1	L1
SRR4119856	L1	L1
SRR4119857	L1	L1
SRR4119838	comma	comma
SRR4119839	comma	comma
SRR4119840	comma	comma
SRR4119841	comma	comma
SRR4119850	moving	moving
SRR4119851	moving	moving
SRR4119852	moving	moving
SRR4119853	moving	moving
SRR4119814	zygote	zygote
SRR4119815	zygote	zygote
SRR4119816	zygote	zygote
SRR4119817	zygote	zygote
