Run	Condition	depletion	cell_cycle	irradiation_sensitivity	source_name
SRR9686833	gfp (control)	gfp (control)	mitotically active	irradiation sensitive	X1
SRR9686834	gfp (control)	gfp (control)	mitotically active	irradiation sensitive	X1
SRR9686835	gfp (control)	gfp (control)	mitotically active	irradiation sensitive	X1
SRR9686836	Smed-exoc3	Smed-exoc3	mitotically active	irradiation sensitive	X1
SRR9686837	Smed-exoc3	Smed-exoc3	mitotically active	irradiation sensitive	X1
SRR9686838	Smed-exoc3	Smed-exoc3	mitotically active	irradiation sensitive	X1
