Run	Condition	organism_part	rnai	strain
SRR3472364	cephalic ganglia, hedgehog, S2F1L3F2	cephalic ganglia	hedgehog	S2F1L3F2
SRR3472365	cephalic ganglia, hedgehog, S2F1L3F2	cephalic ganglia	hedgehog	S2F1L3F2
SRR3472366	cephalic ganglia, patched, S2F1L3F2	cephalic ganglia	patched	S2F1L3F2
SRR3472367	cephalic ganglia, patched, S2F1L3F2	cephalic ganglia	patched	S2F1L3F2
SRR3472362	cephalic ganglia, unc-22, S2F1L3F2	cephalic ganglia	unc-22	S2F1L3F2
SRR3472363	cephalic ganglia, unc-22, S2F1L3F2	cephalic ganglia	unc-22	S2F1L3F2
SRR3472360	head fragment, unc-22, CIW4	head fragment	unc-22	CIW4
SRR3472361	head fragment, unc-22, CIW4	head fragment	unc-22	CIW4
