Run	Condition	developmental_stage	rna	strain
SRR580407	L4 & adult females	L4 & adult females	poly-A RNA	PB4641 (WT)
SRR580408	L4 & adult females	L4 & adult females	poly-A RNA	PB4641 (WT)
SRR580409	L4 & adult females	L4 & adult females	poly-A RNA	PB4641 (WT)
SRR580410	L4 & adult males	L4 & adult males	poly-A RNA	PB4641 (WT)
SRR580411	L4 & adult males	L4 & adult males	poly-A RNA	PB4641 (WT)
SRR580412	L4 & adult males	L4 & adult males	poly-A RNA	PB4641 (WT)
