Run	Sample	Condition	developmental_stage	strain
ERR1674589	SAMEA4483071	first stage sporocyst	first stage sporocyst	NMRI
ERR1674593	SAMEA4483071	first stage sporocyst	first stage sporocyst	NMRI
ERR1674585	SAMEA4483062	miracidia	miracidia	NMRI
ERR1674588	SAMEA4483062	miracidia	miracidia	NMRI
ERR1674584	SAMEA4483069	miracidia	miracidia	NMRI
ERR1674587	SAMEA4483069	miracidia	miracidia	NMRI
ERR1674583	SAMEA4483070	miracidia	miracidia	NMRI
ERR1674586	SAMEA4483070	miracidia	miracidia	NMRI
ERR1674590	SAMEA4483072	second stage sporocyst	second stage sporocyst	NMRI
ERR1674594	SAMEA4483072	second stage sporocyst	second stage sporocyst	NMRI
ERR1674591	SAMEA4483073	second stage sporocyst	second stage sporocyst	NMRI
ERR1674595	SAMEA4483073	second stage sporocyst	second stage sporocyst	NMRI
ERR1674592	SAMEA4483074	second stage sporocyst	second stage sporocyst	NMRI
ERR1674596	SAMEA4483074	second stage sporocyst	second stage sporocyst	NMRI
