Run	Sample	Condition	developmental_stage	sex	strain	organism_part
SRR1532959	SRS671252		2-cell embryo Ce	hermaphrodite	N2	AB
SRR1532960	SRS671253		2-cell embryo Ce	hermaphrodite	N2	P1
SRR1532961	SRS671255		2-cell embryo Ce	hermaphrodite	N2	AB
SRR1532962	SRS671256		2-cell embryo Ce	hermaphrodite	N2	P1
SRR1532963	SRS671257		2-cell embryo Ce	hermaphrodite	N2	AB
SRR1532964	SRS671258		2-cell embryo Ce	hermaphrodite	N2	P1
