Run	Condition	developmental_stage	sex	culture_conditions
SRR2125583	24hr small intestine	24hr small intestine		
SRR2125590	24hr small intestine	24hr small intestine		
SRR2125581	24hr stomach	24hr stomach		
SRR2125588	24hr stomach	24hr stomach		
SRR2125597	24hr stomach	24hr stomach		
SRR2125572	48hr L3	48hr L3		
SRR2125585	48hr L3	48hr L3		
SRR2125606	48hr L3	48hr L3		
SRR2125610	48hr L3	48hr L3		
SRR2125586	72hr L3	72hr L3		
SRR2125599	72hr L3	72hr L3		
SRR2125607	72hr L3	72hr L3		
SRR2125600	72hr L4	72hr L4		
SRR2125602	72hr L4	72hr L4		
SRR2125611	L3	L3		
SRR2125627	L3	L3		
SRR2131010	L3	L3		
SRR2131689	L3	L3		
SRR2125605	L4 8day adult female	L4 8day adult	female	
SRR2125613	L4 8day adult female	L4 8day adult	female	
SRR2125591	adult female	adult	female	
SRR2125593	adult female	adult	female	
SRR2125604	adult female	adult	female	
SRR2125612	adult female	adult	female	
SRR2131029	adult female	adult	female	
SRR2125595	adult male	adult	male	
SRR2125596	adult male	adult	male	
SRR2125601	adult male	adult	male	
SRR2125615	adult male	adult	male	
SRR2125624	adult male	adult	male	
SRR2130271	adult male	adult	male	
SRR2130325	adult male	adult	male	
SRR2125587	dog feces, activated (L3)	L3		dog feces, activated
SRR2125598	dog feces, activated (L3)	L3		dog feces, activated
SRR2125603	dog feces, activated (L3)	L3		dog feces, activated
SRR2125582	dog feces, infective (L3)	L3		dog feces, infective
SRR2125594	dog feces, infective (L3)	L3		dog feces, infective
SRR2125614	dog feces, infective (L3)	L3		dog feces, infective
SRR2125609	dog feces, nonactivated (L3)	L3		dog feces, nonactivated
SRR2138596	gut	gut		
SRR2138602	gut	gut		
