Run	Condition	sample_name	title	developmental_stage	organism_part	sex	strain
SRR8650526	N2_OP50_1	N2_OP50_1	N2_OP50_1	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8650525	N2_OP50_2	N2_OP50_2	N2_OP50_2	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8650528	N2_OP50_3	N2_OP50_3	N2_OP50_3	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8650527	N2_PA14_1	N2_PA14_1	N2_PA14_1	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8650524	N2_PA14_2	N2_PA14_2	N2_PA14_2	56 hours	whole organism	hermaphrodite	Bristol N2
SRR8650523	N2_PA14_3	N2_PA14_3	N2_PA14_3	56 hours	whole organism	hermaphrodite	Bristol N2
